Honor ID,Inscription ID,Appearances,Notes
emperor,471,1,
imperial_priest_of_achaea,471,1,
daduch,472,1,
herald_of_areopagus,472,1,
hearth_initiate,474,1,
pythokhrestos_exegete,474,1,
consul,476,2,
pontifex,476,1,
xvvir_sacris_faciundis,476,1,
hearth_initiate,477,1,
consul,477,1,
imperial_priest,477,1,
son_of_greece,477,1,
eponymous_archon,478,1,
daduch,478,1,
agonothete_of_greater_asklepieia,478,1,
panegyriarch,478,1,
eponymous_archon,479,1,
daduch,479,1,
agonothete_of_panathenaia,479,1,
agonothete_of_greater_asklepieia,479,1,
hearth_initiate,480,1,
hearth_initiate,481,1,
equestrian,481,1,
priest_of_triptolemos,482,1,
praefectus equitum,482,1,
eponymous_archon,483,3,
hoplite_general,483,2,
emperor,483,1,
herald_of_areopagus,483,3,
agonothete_of_panathenaia,483,2,
gymnasiarch,483,3,
hierophant,483,1,
panegyriarch,483,4,
archon,483,1,
ambassador,483,2,
initiate,483,1,
epoptes,483,1,
hearth_initiate,485,1,
hierophantis,487,1,
altar_priest,487,1,
hierophant,487,1,
archon_of_eumolpidai,490,1,
equestrian,491,1,
archon_of_panhellenion,491,1,
daduch,492,1,
hoplite_general,492,1,
herald_of_areopagus,492,1,
sophist,492,1,
archon_basileus,492,1,
archon_of_kerykes,492,1,
daduch,493,2,
hoplite_general,493,1,
herald_of_areopagus,493,1,
sophist,493,1,
archon_basileus,493,1,
hierophant,494,1,
emperor,495,1,
panhellene,495,1,
emperor,496,1,
emperor,497,1,
hierophant,500,1,
hierophantis,501,1,
daduch,502,2,
hierophantis,502,1,
consul,502,1,
initiate,502,2,
hoplite_general,503,2,
agonothete,503,5,
gymnasiarch,503,1,
ambassador,503,1,
archon,503,2,
initiate,503,3,
archon_of_panhellenion,504,1,
hearth_initiate,511,1,
daduch,511,2,
emperor,513,1,
ambassador,513,1,
archon_of_eumolpidai,513,2,
eponymous_archon,514,1,
hoplite_general,514,1,
emperor,514,1,
panegyriarch,514,1,
archon_of_panhellenion,514,1,
prytaneis,514,1,
aesitos,514,4,
hierophant,515,1,
hierophant,516,1,
emperor,518,1,
hearth_initiate,520,1,
eponymous_archon,520,1,
daduch,520,2,
hearth_initiate,521,1,
daduch,521,2,
hearth_initiate,522,1,
priestess_to_demeter_and_kore,523,1,
eponymous_archon,523,6,
hoplite_general,523,4,
imperial_priest,523,1,
herald_of_areopagus,523,2,
ambassador,523,1,
first_systarch_of_agones,523,1,
priest_of_zeus_olympios,523,2,
priest_of_dionysos_eleuthereus,523,1,
agonothete_of_olympeia,523,3,
hearth_initiate,524,1,
gymnasiarch,524,1,
victor_in_eleusina,527,1,
pyrphoros,530,1,
exegete_of_eumolpidai,531,1,
priest_of_apollo_patroos,531,1,
proconsul,531,1,
quaestor,531,1,
eponymous_archon,532,1,
imperial_priest,533,1,
gymnasiarch,533,1,
gymnasiarch,539,1,
hoplite_general,540,1,
hoplite_general,541,1,
agonothete_of_panathenaia,541,1,
herald_of_areopagus,542,1,
gymnasiarch,542,1,
eponymous_archon,543,1,
agonothete,543,1,
gymnasiarch,543,1,
exegete_of_eumolpidai,544,1,
herald_of_areopagus,544,1,
exegete_of_eumolpidai,545,1,
gymnasiarch,545,1,
gymnasiarch,546,1,
eponymous_archon,547,1,
gymnasiarch,548,1,
priestess_to_demeter_and_kore,549,1,
exegete_of_eumolpidai,550,1,
hearth_initiate,551,1,
emperor,556,1,
hearth_initiate,568,1,
hearth_initiate,587,1,
priestess_of_athena_polias,588,1,
pythokhrestos_exegete,590,1,
hearth_initiate,591,1,
herald_of_areopagus,596,1,
gymnasiarch,596,1,
emperor,597,1,
equestrian,599,1,
priestess_to_demeter_and_kore,606,1,
priestess_of_athena_polias,619,1,
priestess_to_demeter_and_kore,621,1,
hearth_initiate,621,1,
eponymous_archon,621,1,
daduch,621,1,
hoplite_general,621,1,
herald_of_areopagus,621,1,
gymnasiarch,621,1,
archon_basileus,621,1,
eponymous_archon,622,1,
daduch,622,3,
periodonikos,622,1,
senator,622,1,
eumolpid,623,1,
stone_bearer,624,1,
archon_of_kerykes,624,1,
archon_of_sacred_gerousia,624,1,
proconsul,625,1,
eumolpid,625,1,
herald_of_areopagus,626,1,
proconsul,626,1,
hierokeryx,626,1,
sophist,626,1,
initiate,628,1,
procurator_fisci_asiatici,629,1,
sophistic_chair,629,1,
consul,630,2,
emperor,630,1,
necessarius,630,1,
euergetes,630,1,
hierophant,631,1,
daduch,632,1,
hoplite_general,633,1,
herald_of_areopagus,633,1,
hierokeryx,633,1,
priest_of_zeus_olympios,633,1,
agonothete_of_olympeia,633,1,
phaidyntes_in_olympia,633,1,
phoinikarchos,634,1,
hearth_initiate,635,1,
rhetor,635,1,
hearth_initiate,636,1,
eponymous_archon,638,1,
secretary_of_demos,638,1,
hierophant,638,1,
archon_of_eumolpidai,638,2,
phaidyntes,638,1,
kosmete_of_ephebes,638,2,
hearth_initiate,639,1,
daduch,639,2,
hearth_initiate,640,1,
senator,640,3,
military_tribune,640,1,
quaestor,640,1,
unc_of_unc_legion,640,1,
high_priest_of_mother_of_gods_in_boiotia,640,1,
hearth_initiate,642,1,
eponymous_archon,644,1,
hierophant,644,1,
clarissimus,644,1,
hearth_initiate,645,1,
hoplite_general,645,1,
ambassador,645,1,
hierokeryx,645,1,
archon,645,1,
agonothese_of_hadrianeia,645,1,
hierophant,646,1,
emperor,647,1,
hearth_initiate,648,1,
daduch,648,2,
eponymous_archon,649,1,
agonothete,649,1,
hierophant,649,1,
eponymous_archon,650,1,
hierokeryx,650,1,
sophistic_chair,650,1,
priestess_to_demeter_and_kore,651,1,
senator,652,1,
daduch,653,2,
consul,653,2,
semnotatos,653,1,
daduch,654,3,
emperor,655,1,
ambassador,655,1,
pontifex_maximus,655,1,
pater_patriae,655,1,
tribunicia_potestas,655,1,
priest_of_panages,656,1,
equestrian,656,1,
hierophant,659,1,
emperor,660,2,
initiate,661,1,
exegete_of_eumolpidai,663,1,
priestess_to_demeter_and_kore,666,1,
emperor,671,1,
pythokhrestos_exegete,291a,1,
daduch,301a,1,
daduch,301b,1,
proconsul,347b,1,
basileus_of_cappadocia,272a,1,
basilissa_of_cappadocia,272a,1,
priestess_to_demeter_and_kore,433a,1,
hierophantis,433a,1,
priestess_to_demeter_and_kore,433b,1,
eponymous_archon,433b,1,
hierophantis,433b,1,
hoplite_general,433b,1,
agonothete,433b,1,
herald_of_areopagus,433b,1,
praefectus_fabrum,433b,1,
praefectus_cohortis_ii_hispanorum,433b,1,
herald_of_boule_and_demos,433b,1,
epimelite_of_city,433b,1,
gymnasiarch,433b,1,
ambassador,433b,1,
emperor,486a,1,
epimelite_of_city,486a,2,
priestess_to_demeter_and_kore,489a,1,
exegete_of_eumolpidai,489a,3,
daduch,489a,3,
hierophantis,489a,2,
pythokhrestos_exegete,489a,1,
imperial_priest,489a,1,
altar_priest,489a,1,
pyrphoros,489a,1,
priest_of_panages,489a,1,
bouzyges,489a,1,
hierokeryx,489a,1,
hierophant,489a,3,
priest_of_triptolemos,489a,1,
archon,489a,1,
asiarch,489a,1,
bouletikos,489a,1,
priest_of_daphnephoros,489a,1,
priestess_of_athena,489a,1,
priestess_of_kalligeneia,489a,1,
archon_of_eumolpidai,489a,1,
priest_of_gods_and_goddesses,489a,1,
priestess_of_moiragetes,489a,1,
phaidyntes,489a,1,
priest_of_zeus,489a,1,
iakhagogos,489a,1,
hierophant,637a,1,
emperor,701,1,
emperor,703,1,
