Inscription: IE,Inscription: Order,Inscription: Title,Inscription: Object Type,Inscription: Type,Inscription: Suspected Ancient Location,Inscription: Date (Avg.),Inscription: Date Span,Inscription: Letter Height (m),Inscription: Letter Height Averaged,Inscription: Language,Inscription: Text,Inscription: Scrubbed Text,Inscription: Diplomatic Text,Inscription: Character Count,Inscription: Diplomatic Character Count,Inscription: Word Count,Inscription: Diplomatic Word Count,Inscription: Total Institutions,Inscription: Total Honors,Inscription: Total People,Inscription: Total Sponsors,Inscription: Total Honorands,Inscription: Total Athenians,Inscription: Total Romans,Inscription: ID,Inscription: Low Date,Inscription: Low Date Uncertainty,Inscription: High Date,Inscription: High Date Uncertainty,Inscription: Notes
330,73,Statue Base for Polycharmos Polykritou Azenieus,Base,Dedication,,-6.5,41,0.0295,,Greek,1 ὁ δῆ μος Πολύχαρμ ον Πολυκρίτου Ἀζην ι έα ἀ ρετῆς ἕνεκεν , δῆ μος Πολύχαρμ ον Πολυκρίτου Ἀζην ι έα ἀ ρετῆς ἕνεκεν , ὁ δῆ Πολύχαρμ Ἀζηνέα ἀ ,46,18,14,7,1,0,2,1,1,1,1,330,-27,False,14,False,
331,74,Statue Base for Emperor Tiberius,Base,Dedication,,25.5,23,0.0350,,Greek,1 Τιβέ ρι ον Κ αίσ αρα Σεβαστὸν Ἐ λευσ ε ίνιο ς καὶ ἄρχων ἐ πώ ν υ μος καὶ κ καὶ ἱερεὺς Ἀσκληπιοῦ διὰ β ί ου Θε όφιλος Εὐ δόξου Ἐλευσείνιος καὶ τὸν 5 ἴδ ιον εὐεργέτην , Τιβέ ρι ον Κ αίσ αρα Σεβαστὸν Ἐ λευσ ε ίνιο ς ἄρχων ἐ πώ ν υ μος κ ἱερεὺς Ἀσκληπιοῦ β ί ου Θε όφιλος Εὐ δόξου Ἐλευσείνιος ἴδ ιον εὐεργέτην , Τιβέον Κ αίσ λευσ ε ίνιο πώ ν μος καὶ κ β ί όφιλος Εὐ ἴδ ,127,41,41,18,0,1,3,1,1,2,1,331,14,False,37,False,
332,75,Statue Base for Unknown,Base,Other/Uncertain,,34.0,40,0.0650,,Greek, Τιβέ ριον , Τιβέ ριον , Τιβέ ,8,4,4,3,0,1,0,0,0,0,0,332,14,False,54,False,
333,76,Statue Base for Menandros Asklepiodotou Gargettios,Base,Dedication,Before the Telestrion,20.0,10,0.0220,,Greek,face 1 τὸν ἱερέα συνκλή του Ῥωμαίων καὶ Δήμου κα ὶ Χα ρ ίτω ν vac ἄρ ξ αντα τὴν ἐπώνυμον ἀρχὴν lower molding 4 Μένανδρον Ἀσκληπιοδώρου 5 Γαργήττιον , ἱερέα συνκλή του Ῥωμαίων Δήμου κα ὶ Χα ρ ίτω ν ἄρ ξ αντα ἐπώνυμον ἀρχὴν Μένανδρον Ἀσκληπιοδώρου Γαργήττιον , τὸν ἱερέα συνκλή καὶ Δήμου κα ὶ Χα ρ ίτω ἄραντα τὴν ἐπώνυμον ἀρχὴν Μένανδρον Ἀσκληπιοδώρου Γαργήττιον ,119,85,30,19,0,1,1,0,1,1,0,333,15,True,25,True,
334,77,Monument for Emperor Tiberius,Base,Dedication,,20.0,10,0.0450,,Greek,1 vacat Τι βέριον Καίσαρα Σεβαστὸν vacat ἡ βουλὴ ἡ ἐξ Ἀ ρίου πάγου καὶ ἡ βουλὴ τῶν ἑξακοσίων καὶ ὁ δ ῆμος ἐπὶ ἱερείας Κλεοῦς τῆς Εὐκλέους Φλυέως θυγατρός ἐπιμεληθέντος τῆ ς ἀναθέσεως vacat vacat Π απ ί ου Μαραθωνίου ἱερέως ὄντος διὰ βίου vacat 5 vacat Παπί ου Μαραθωνίου vacat, Τι βέριον Καίσαρα Σεβαστὸν βουλὴ Ἀ ρίου πάγου βουλὴ ἑξακοσίων δ ῆμος ἱερείας Κλεοῦς Εὐκλέους Φλυέως θυγατρός ἐπιμεληθέντος τῆ ς ἀναθέσεως Π απ ί ου Μαραθωνίου ἱερέως ὄντος βίου Παπί ου Μαραθωνίου , Τι βέριον Καίσαρα Σεβαστὸν ρίου πάγου καὶ ἡ βουλὴ τῶν ἑξακοσίων καὶ ὁ δ Φλυέως θυγατρός ἐπιμεληθέντος τῆ Π απ ί Μαραθωνίου ἱερέως ὄντος διὰ Παπί Μαραθωνίου ,225,129,52,29,3,2,3,3,1,2,1,334,15,True,25,True,
335,78,Monument for Iulia Augusta,Other/Fragment,Dedication,,25.0,10,0.0450,,Greek,1 Ἰουλίαν Σεβαστ ὴ ν ἡ βου λὴ ἡ ἐξ Ἀρείου πάγου καὶ ἡ βουλὴ τῶν ἑξακοσίων καὶ ὁ δῆμος ἐπὶ ἱερείας Κλεοῦς τ ῆ ς Εὐκλ έους Φλυέως γόνωι δὲ Νικοδήμου Ἑρμείου vacat vacat θυγ ατρός ἐπιμεληθέντος τῆς ἀναθέσεως nomen vacat vacat Πρ α ξα γ όρου demoticum ἱερέως ὄντος διὰ βίου vacat 5 nomen Πρα ξα γ όρου demoticum , Ἰουλίαν Σεβαστ ὴ ν βου λὴ Ἀρείου πάγου βουλὴ ἑξακοσίων δῆμος ἱερείας Κλεοῦς τ ῆ ς Εὐκλ έους Φλυέως γόνωι Νικοδήμου Ἑρμείου θυγ ατρός ἐπιμεληθέντος ἀναθέσεως Πρ α ξα γ όρου ἱερέως ὄντος βίου Πρα ξα γ όρου , ὴ ν ἡ βου ῆ ς Εὐκλ ατρός α ξα γ ,247,21,62,13,3,2,5,3,1,3,2,335,20,False,30,False,
336,79,Statue Base for a Priest of Tiberius and Exegete of the Eumolpidai,Base,Dedication,,25.0,10,0.0240,True,Greek, Τιβερί ο υ Καίσα ρος Σεβασ τοῦ Καίσαρος Σε βαστοῦ υἱοῦ ἐξηγ ητὴν ἐξ Εὐ μολπιδῶν ν Μ α ρ α θ ώνιον c 5 5 ι ος Αὖλος Μα ραθώνιος τὸν ἑαυτοῦ ε ὐ εργέτην vacat, Τιβερί ο υ Καίσα ρος Σεβασ Καίσαρος Σε βαστοῦ υἱοῦ ἐξηγ ητὴν Εὐ μολπιδῶν ν Μ α ρ α θ ώνιον ι ος Αὖλος Μα ραθώνιος ε ὐ εργέτην , ο υ Καίσα Καίσαρος Σε ητὴν ἐξ Εὐ ν Μ α ρ α θ ι ος Αὖλος Μα ὐ εργέτην ,119,49,38,22,1,1,1,0,0,0,1,336,20,True,30,True,
337,80,Statue Base for an Unknown Exegete,Base,Dedication,,25.0,10,0.0290,True,Greek, ἐξ ηγητὴν ἐξ Εὐμολπιδῶν ι ος Αὖλ ος Μαραθώνιος , ηγητὴν Εὐμολπιδῶν ι ος Αὖλ ος Μαραθώνιος , ηγητὴν ος Αὖλ ,38,11,11,5,1,1,1,0,0,0,1,337,20,True,30,True,
338,81,Statue Base for Unknown,Base,Dedication,,25.0,10,0.0235,True,Greek, Αὖ λος Μαραθώνιο ς πατ έ ρ α vacat , Αὖ λος Μαραθώνιο ς πατ έ ρ α , λος Μαραθώνιο έ ρ α ,26,15,11,7,0,0,1,0,0,0,1,338,20,True,30,True,
339,82,Statue Base for Unknown,Base,Dedication,,37.5,25,0.0250,,Greek, Μαραθώνιο , Μαραθώνιο , Μαραθώνιο ,9,9,3,3,0,0,0,0,0,0,0,339,25,False,50,True,
340,83,Statue Base for Unknown,Base,Dedication,,37.5,25,0.0230,,Greek,1 ἡ βουλὴ ἡ ἐξ Ἀρεί ου π άγου καὶ ἡ βουλὴ τῶν ἑξ α κο σίων καὶ ὁ δῆμος , βουλὴ Ἀρεί ου π άγου βουλὴ ἑξ α κο σίων δῆμος , ου π α κο ,51,6,21,6,3,0,0,3,0,0,0,340,25,False,50,True,
341,84,Epistyle of Building Dedicated by the Priestess Kleo Eukleous of Phyla,Base,Dedication,,45.0,40,0.0350,,Greek,1 ἱέρεια Δήμητρος καὶ Κόρης Κλεὼ Εὐκλέους Φλυέως θυγά τηρ γόνωι δὲ Νικοδήμου Ἑ ρ μείου καὶ c 24 ἱερεὺς τοῦ Δήμ ου καὶ ἱερεὺς Σεβαστῆς Δικα ι οσύνης ἀνέθηκαν Δήμητρι καὶ Κόρηι καὶ Σεβαστῆι Δικαι οσύνηι καὶ τῶι Δήμωι , ἱέρεια Δήμητρος Κόρης Κλεὼ Εὐκλέους Φλυέως θυγά τηρ γόνωι Νικοδήμου Ἑ ρ μείου ἱερεὺς Δήμ ου ἱερεὺς Σεβαστῆς Δικα ι οσύνης ἀνέθηκαν Δήμητρι Κόρηι Σεβαστῆι Δικαι οσύνηι τῶι Δήμωι , τηρ γόνωι δὲ Νικοδήμου Ἑ ου καὶ ἱερεὺς Σεβαστῆς Δικα οσύνηι καὶ τῶι Δήμωι ,175,60,41,16,1,3,2,0,0,2,0,341,25,True,65,True,
342,85,Monument Dedicated by the Priestess Kleo Eukleous of Phyla,Base,Dedication,,45.0,40,0.0520,,Greek,1 Κλεὼ Εὐκλέους Φλυέως θυγάτηρ γόνωι δὲ Νι κοδήμο υ Ἑρμείου Δή μητρι καὶ Κόρηι , Κλεὼ Εὐκλέους Φλυέως θυγάτηρ γόνωι Νι κοδήμο υ Ἑρμείου Δή μητρι Κόρηι , κοδήμο Ἑρμείου Δή ,64,15,16,5,0,1,2,0,0,2,0,342,25,True,65,True,
343,86,Statue Base Dedicated by the Priestess Kleo Eukleous of Phyla,Altar,Dedication,,45.0,40,0.0230,,Greek, c 6 ⁷ σκ ⁷ καὶ ἐπωνύμου τῆς πόλε ως vacat ἡ ἱέρεια τῆ ς Δ ήμητρος καὶ τ ῆς Κόρης Κλεὼ Εὐκλέους Φλυέως , σκ ἐπωνύμου πόλε ως ἱέρεια τῆ ς Δ ήμητρος τ ῆς Κόρης Κλεὼ Εὐκλέους Φλυέως , σκ καὶ ἐπωνύμου τῆς πόλε ἡ ἱέρεια τῆήμητρος καὶ τ Κλεὼ ,78,44,26,13,0,2,1,0,0,1,0,343,25,True,65,True,
344,87,"Statue Base for Polycharmos Eukleous Marathonios, High Priest of Tiberius",Base,Dedication,Before the Telestrion,33.5,7,0.0300,,Greek,1 τὸν ἀρχιερέα Τιβερίου Καίσαρος Σεβαστοῦ καὶ ἱερέα πατρῴου Ἀπόλλωνος 5 Πολύχαρμον Εὐκλέ ους Μαραθώνιον Εἵ μερτος Πολυχάρμου Μαραθώνιος τὸν ἑαυ τοῦ εὐεργέτην vac 0 04 m 10 ἐπὶ ἱερείας Κλεοῦς τῆς Εὐκλέους Φλυέως θυγατρός , ἀρχιερέα Τιβερίου Καίσαρος Σεβαστοῦ ἱερέα πατρῴου Ἀπόλλωνος Πολύχαρμον Εὐκλέ ους Μαραθώνιον Εἵ μερτος Πολυχάρμου Μαραθώνιος ἑαυ εὐεργέτην ἱερείας Κλεοῦς Εὐκλέους Φλυέως θυγατρός , τὸν ἀρχιερέα Τιβερίου Καίσαρος Σεβαστοῦ καὶ ἱερέα πατρῴου Ἀπόλλωνος Πολύχαρμον Εὐκλέ ους Μαραθώνιον Εἵ μερτος Πολυχάρμου Μαραθώνιος τὸν ἑαυ τοῦ εὐεργέτην ἐπὶ ἱερείας Κλεοῦς τῆς Εὐκλέους Φλυέως θυγατρός ,185,174,36,30,0,3,4,1,1,3,1,344,30,True,37,True,
345,88,Statue Base for Titus Statilius Lamprias,Base,Dedication,,43.0,10,,,Greek,2 ἡ ἐξ Ἀρείου πάγου βουλὴ καὶ ἡ βου λὴ τῶν ἑξακοσίων καὶ ὁ δῆμο ς Τίτον Στατείλιον Στατειλίου 5 υἱὸν Τειμοκράτους Λαμπρίαν , Ἀρείου πάγου βουλὴ βου λὴ ἑξακοσίων δῆμο ς Τίτον Στατείλιον Στατειλίου υἱὸν Τειμοκράτους Λαμπρίαν , ἡ ἐξ Ἀρείου πάγου βουλὴ καὶ ἡ βου λὴ τῶν ἑξακοσίων καὶ ὁ δῆμο Τίτον Στατείλιον Στατειλίου υἱὸν Τειμοκράτους Λαμπρίαν ,100,97,24,22,3,0,1,3,1,0,1,345,38,False,48,False,
346,89,Statue Base Dedicated by Kleopatra Iophontos Deiradiotou and Her Son,Base,Dedication,,50.0,20,0.0230,,Greek,1 Κλεοπάτρα Ἰοφῶντος Δειρ αδιώτου θυγάτηρ καὶ Διονυσόδωρος Διονυ σοδώρου Σουνιεὺς ἀνέθη καν εὐσεβείας ἕνεκα εἰς τὰς Θεάς , Κλεοπάτρα Ἰοφῶντος Δειρ αδιώτου θυγάτηρ Διονυσόδωρος Διονυ σοδώρου Σουνιεὺς ἀνέθη καν εὐσεβείας ἕνεκα τὰς Θεάς , Κλεοπάτρα Ἰοφῶντος Δειρ σοδώρου Σουνιεὺς ἀνέθη ,103,41,19,8,0,0,2,1,0,2,0,346,40,False,60,False,
347,90,"Statue Base for P. Papinus Statius, Dedicated by the Areopagus",Base,Dedication,,50.0,50,0.0215,True,Greek,1 ἐπὶ Ἱέρωνος ἄρχοντος οἱ θιασῶ τ αι Ἀσ κ ληπιῶι καὶ Ὑγιείαι col I 3 Μ ένης ⁷Ι 5 col II 3 Θάλλος Νικόμαχος 5 η ς , Ἱέρωνος ἄρχοντος θιασῶ τ αι Ἀσ κ ληπιῶι Ὑγιείαι Μ ένης Ι Θάλλος Νικόμαχος η ς , ἐπὶ Ἱέρωνος ἄρχοντος οἱ θιασῶαι Ἀσ κ ληπιῶι καὶ Ὑγιείαι ένης Ι Θάλλος Νικόμαχος ης ,85,68,29,17,2,0,1,2,1,0,1,682,25,False,75,False,
347,91,"Statue Base for a Proconsul, Dedicated by the Demos",Base,Dedication,,50.0,50,0.0215,True,Greek,1 Εὐφρόσυνος Ἱεροφάντου ζα κορεύων Ἀσκλη πιοῦ καὶ Ὑγίας 5 ἀνέθηκεν τὸ π ρόναον καὶ τὸ ν οἶκον ἐπὶ Κα λλικρατίδου ἄρχοντος , Εὐφρόσυνος Ἱεροφάντου ζα κορεύων Ἀσκλη πιοῦ Ὑγίας ἀνέθηκεν π ρόναον ν οἶκον Κα λλικρατίδου ἄρχοντος , Εὐφρόσυνος Ἱεροφάντου ζα κορεύων Ἀσκλη πιοῦ καὶ Ὑγίας ἀνέθηκεν τὸ π ρόναον καὶ τὸ ν οἶκον ἐπὶ Κα λλικρατίδου ἄρχοντος ,100,98,23,22,0,1,1,0,1,0,1,683,25,False,75,False,
348,92,Statue Base for Diokles Themistokleous Hagnousios,Base,Dedication,,50.0,20,0.0200,,Greek,1 ἡ βουλὴ ἡ ἐξ Ἀρείου π άγου καὶ ἡ β ουλὴ τῶν ἑξακοσίων καὶ ὁ δῆμ ος Διοκλέ α Θεμισ τοκλέους δᾳδούχο υ Ἁγνούσ ιον φιλοκαί σαρα καὶ φιλόπατριν ἀρετῆς ἕν εκα , βουλὴ Ἀρείου π άγου β ουλὴ ἑξακοσίων δῆμ ος Διοκλέ α Θεμισ τοκλέους δᾳδούχο υ Ἁγνούσ ιον φιλοκαί σαρα φιλόπατριν ἀρετῆς ἕν εκα , άγου καὶ ἡ β ος Διοκλέ υ Ἁγνούσ ἀρετῆς ἕν ,123,32,34,12,3,1,2,3,1,2,0,348,40,False,60,False,
349,93,"Statue Base for Athenais, Daughter of Diokles Hagnousios",Stele,Dedication,Before the Telestrion,50.0,20,,,Greek,1 ἡ βουλὴ ἡ ἐξ Ἀ ρείου πάγου καὶ ἡ βουλ ὴ τῶ ν ἑξακοσίων κ αὶ ὁ δῆμος Ἀθην αΐδα Διοκλέο υς τοῦ Θεμιστοκλέους δᾳδούχου 5 Ἁγνουσίου φιλοκαίσαρος καὶ φιλ ο πάτριδος θυγατέρα ἡρωείνην σωφροσύνης ἕνεκα , βουλὴ Ἀ ρείου πάγου βουλ ὴ τῶ ν ἑξακοσίων κ αὶ δῆμος Ἀθην αΐδα Διοκλέο υς Θεμιστοκλέους δᾳδούχου Ἁγνουσίου φιλοκαίσαρος φιλ ο πάτριδος θυγατέρα ἡρωείνην σωφροσύνης ἕνεκα , Ἀ τῶ αὶ ὁ δῆμος Ἀθην Διοκλέο τοῦ Θεμιστοκλέους δᾳδούχου Ἁγνουσίου φιλοκαίσαρος καὶ φιλ πάτριδος θυγατέρα ἡρωείνην σωφροσύνης ἕνεκα ,160,112,38,21,3,1,2,3,1,2,0,349,40,False,60,False,
350,94,Statue Base for Marcus Porcius Cato,Base,Dedication,,50.0,20,0.0300,,Greek, Μᾶρκον Πόρκιον Κάτων α Ε ὐμολπίδην , Μᾶρκον Πόρκιον Κάτων α Ε ὐμολπίδην , Κάτων ὐμολπίδην ,29,14,8,4,1,1,1,0,1,0,1,350,40,False,60,False,
351,95,"Statue Base for Seilon Apolloniou Meliteus, Hearth-Initiate",Base,Dedication,,50.0,20,0.0180,,Greek,1 ἡ ἐξ Ἀρείου πάγου βουλὴ κα ὶ ἡ βο υλὴ τῶν Χ καὶ ὁ δῆμος Σείλωνα Ἀπολλωνίου Μ ελι τέα μυηθ έντα ἀφ ἑστίας ἐπιμεληθέντος τ ῆ ς ἀναθέσε ως τοῦ πατρό ς Ἀπολ λ ωνίου τοῦ Σίλ ω νο ς Μελ ι 5 τέ ως , Ἀρείου πάγου βουλὴ κα ὶ βο υλὴ Χ δῆμος Σείλωνα Ἀπολλωνίου Μ ελι τέα μυηθ έντα ἀφ ἑστίας ἐπιμεληθέντος τ ῆ ς ἀναθέσε ως πατρό ς Ἀπολ λ ωνίου Σίλ ω νο ς Μελ ι τέ ως , ἡ ἐξ Ἀρείου πάγου βουλὴ κα ἡ βο τῶν Χ καὶ ὁ δῆμος Σείλωνα Ἀπολλωνίου Μτέα μυηθ έντα ἀφ ἑστίας ἐπιμεληθέντος τς ἀναθέσε ως τοῦ πατρό ς Ἀπολωνίου τοῦ Σίλνο ς Μελ ως ,145,130,48,35,3,1,2,3,1,2,0,351,40,True,60,True,
352,96,"Statue Base for Caius Caecilius Kasios, Acharneus",Base,Dedication,Before the Telestrion,50.0,20,0.0300,,Greek,1 ἡ ἐξ Ἀρείο υ πάγου βουλὴ καὶ ἡ βου λὴ τῶν ἑξακοσίων καὶ ὁ δῆμος ⁵⁶ Γ άιον ⁵⁶ 5 Καικίλιον Κάσιον Ἀχαρνέα ἀρετῆς ἕνεκεν vacat, Ἀρείο υ πάγου βουλὴ βου λὴ ἑξακοσίων δῆμος Γ άιον Καικίλιον Κάσιον Ἀχαρνέα ἀρετῆς ἕνεκεν , ἡ ἐξ Ἀρείο βουλὴ καὶ ἡ βου τῶν ἑξακοσίων καὶ ὁ δῆμος Γ Καικίλιον Κάσιον Ἀχαρνέα ἀρετῆς ἕνεκεν ,99,76,27,20,3,0,1,3,1,0,1,352,40,True,60,True,
353,97,Statue Base for an Unknown Daughter of Statilius of Sphettos,Building or Monument,Dedication,,50.0,20,0.0250,,Greek,1 ἡ βουλὴ ἡ ἐξ Ἀρείο υ πάγου καὶ ἡ βουλὴ τῶν Χ καὶ ὁ δῆ μος ⁵⁶ Στατι λίαν 67 αν ⁵⁶ Στατιλί ου 5 67 Σφηττίου θ υγατέρα ἀρετῆς ἕ ν εκα αἰτ ησα μένου τοῦ π α τρός ⁷ ΟΣΤ Ο Σ , βουλὴ Ἀρείο υ πάγου βουλὴ Χ δῆ μος Στατι λίαν αν Στατιλί ου Σφηττίου θ υγατέρα ἀρετῆς ἕ ν εκα αἰτ ησα μένου π α τρός ΟΣΤ Ο Σ , ἐξ Ἀρείο καὶ ἡ βουλὴ μος Στατι αν Στατιλί Σφηττίου θ ν εκα αἰτ α τρός ΟΣΤ Ο Σ ,125,59,46,21,3,0,1,3,1,0,1,353,40,True,60,True,
354,98,"Architrave with Dedication by Tiberius Klaudios Eukles Sostratou, Priest of Iulia Agrippina Sebaste",Building or Monument,Dedication,,54.5,9,,,Greek,1 vv ὁ ἱ ε ρ ε ὺ ς α ὐ τ ῆ ς Τ ιβ έριος Κλαύδιος vv Εὐκλῆς Σωστράτ ου demoticum Ἰ ουλ ίαι c 11 Σε βαστῆι , ὁ ἱ ε ρ ε ὺ ς α ὐ τ ῆ ς Τ ιβ έριος Κλαύδιος Εὐκλῆς Σωστράτ ου Ἰ ουλ ίαι Σε βαστῆι , ὁ ε ρ ε ὺ ς ὐ ῆ ς Τ Εὐκλῆς Σωστράτ ουλ ίαι Σε ,75,31,31,17,0,1,2,1,1,1,1,354,50,False,59,False,
355,99,Statue Base for an Unknown Brother of the Priest Tiberius Klaudios Eukles Sostratou,Base,Dedication,,54.5,9,,,Greek,1 ὁ ἱρεὺς Τι βέριος Κλαύδιος Εὐκλῆς Σωστ ράτου demoticum τὸν ἀδελφὸν nomen ἀρετῆς ἕν εκεν καὶ , ἱρεὺς Τι βέριος Κλαύδιος Εὐκλῆς Σωστ ράτου ἀδελφὸν ἀρετῆς ἕν εκεν , ὁ ἱρεὺς Τι Εὐκλῆς Σωστ τὸν ἀδελφὸν ἀρετῆς ἕν ,77,36,18,11,0,1,2,1,0,2,0,355,50,False,59,False,
356,100,Statue Base for Tiberius Klaudios Nouios Philinou of Oion,Base,Dedication,,55.0,10,0.0250,,Greek,1 ἀρχιερέα Σε βαστ καὶ ἀγ ω νοθέτην τῶν Με 5 γάλων Καισαρήων Σεβα στῶν καὶ Παναθηναίων Σεβα στῶν καὶ στρατη γ ήσα ντα ἐπὶ τὰ ὅπλα Ο Σ , ἀρχιερέα Σε βαστ ἀγ ω νοθέτην Με γάλων Καισαρήων Σεβα στῶν Παναθηναίων Σεβα στῶν στρατη γ ήσα ντα ὅπλα Ο Σ , βαστ καὶ ἀγ ω γάλων στῶν Σεβα γ ήσα Ο Σ ,105,29,30,13,0,3,1,0,1,1,0,356,50,True,60,False,
357,101,"Statue Base for Tiberius Klaudios Demostratos Ti. Klaudii Neikotelous Sounieus, Hearth Initiate",Base,Dedication,,55.0,10,0.0170,,Greek,1 Γάϊος Ἰούλι ος Π όλ χος Σουνιεὺς ἀνέθηκε Δήμητρι καὶ Κόρῃ μυηθέντα ἀφ ἑστίας Τιβέριον Κλαύδιον Δημόστρα τον Τιβερίου Κλαυδίου Νεικοτέλους 5 υἱὸν καὶ Κλαυδίας Φιλίππης τῆς Λυ κούργου Παλληνέως θυγατρός , Γάϊος Ἰούλι ος Π όλ χος Σουνιεὺς ἀνέθηκε Δήμητρι Κόρῃ μυηθέντα ἀφ ἑστίας Τιβέριον Κλαύδιον Δημόστρα τον Τιβερίου Κλαυδίου Νεικοτέλους υἱὸν Κλαυδίας Φιλίππης Λυ κούργου Παλληνέως θυγατρός , Γάϊος Ἰούλι ος Π όλ χος Σουνιεὺς ἀνέθηκε Δήμητρι καὶ Κόρῃ μυηθέντα ἀφ ἑστίας Τιβέριον Κλαύδιον Δημόστρα τον Τιβερίου Κλαυδίου Νεικοτέλους υἱὸν καὶ Κλαυδίας Φιλίππης τῆς Λυ κούργου Παλληνέως θυγατρός ,171,169,33,32,0,1,4,1,1,4,0,357,50,True,60,False,
358,102,Statue Base for Klaudios Asklepiodoros Gargettios,Base,Dedication,,55.0,10,0.0250,,Greek,vacat καὶ κ ηρυκεύσαντα καὶ γυμ νασιαρχήσαντα δὶς καὶ ἀγ ωνοθετήσαντα τῶν μεγάλ ω ν Καισαρήων Σεβασ 5 τῶν καὶ στρατηγήσαντα ἐπὶ τοὺ ς ὁπλείτας δὶς φιλο καίσαρ α κ α ὶ φιλόπατριν Κλαύδιο ν Ἀσκληπιόδῳ ρον Γαργήτ τ ιον Κλ αυδία 10 τ ὸν ἑαυτῆς πα τέρα ταῖν θ εαῖν vac ἀνέθηκε ἐπὶ ἱερείας Κλεο ῦς τῆς Εὐκλέο υς Φλ υέ ως γόνῳ δὲ Νικ ο δήμου 15 Ἑρμείου , κ ηρυκεύσαντα γυμ νασιαρχήσαντα δὶς ἀγ ωνοθετήσαντα μεγάλ ω ν Καισαρήων Σεβασ στρατηγήσαντα τοὺ ς ὁπλείτας δὶς φιλο καίσαρ α κ α ὶ φιλόπατριν Κλαύδιο ν Ἀσκληπιόδῳ ρον Γαργήτ τ ιον Κλ αυδία τ ὸν ἑαυτῆς πα τέρα ταῖν θ εαῖν ἀνέθηκε ἱερείας Κλεο ῦς Εὐκλέο υς Φλ υέ ως γόνῳ Νικ ο δήμου Ἑρμείου , ηρυκεύσαντα καὶ νασιαρχήσαντα δὶς ωνοθετήσαντα τῶν ω ν Καισαρήων Σεβασ στρατηγήσαντα ς ὁπλείτας δὶς α κ α ὶ φιλόπατριν ν Ἀσκληπιόδῳ τ ιον Κλ αυδία ὸν ἑαυτῆς πα εαῖν Κλεο υς Φλως ο ,276,147,71,35,0,4,4,1,1,4,0,358,50,True,60,True,
359,103,Statue Base for an Exegete,Base,Dedication,,75.0,50,0.0240,True,Greek, ἐξηγητὴν ἐξ Εὐμολπ ιδῶν Τι βέριον Κ λαύδιον νιον ἀ ρετῆς ἕνεκα , ἐξηγητὴν Εὐμολπ ιδῶν Τι βέριον Κ λαύδιον νιον ἀ ρετῆς ἕνεκα , ιδῶν Τι Κ νιον ἀ ,51,12,14,7,1,1,1,0,1,1,0,359,50,False,100,True,
