Institution: Title,Institution: Origin,Institution: Type,Office: Title,Office: Origin,Office: Type,Officer: Description,Officer: Origin,Officer: Gender,Officer: Name(s),Officer: Deme,Officer: Athenian Citizen,Officer: Roman Citizen,Officer: Family,Officer: Extended Family,Inscription: IE,Inscription: Title,Inscription: Object Type,Inscription: Type,Inscription: Suspected Ancient Location,Inscription: Date (Avg.),Inscription: Date Span,Inscription: Letter Height (m),Institution: Total Appearances,Institution: Total Offices,Institution: Total Office Appearances,Institution: Total Officers,Institution: Total Officer Appearances,Institution: Total People Co-Appearances,Institution: Total Institutional Co-Appearances,Institution: Total Honors Co-Appearances,Institution: Total People Co-Appearances with Officers,Institution: Total Institutional Co-Appearances with Officers,Office: Total Appearances,Office: Total People Honored,Office: Total Times People Honored,Office: Total Athenians Honored,Office: Total Athenians with Roman Citizenship Honored,Office: Total Romans Honored,Office: Total Times Athenians Honored,Office: Total Times Athenians with Roman Citizenship Honored,Office: Total Times Romans Honored,Office: Total Times Sponsored Honored,Office: Total Times Honorand Honored,Officer: Total Appearances,Officer: Total Sponsors,Officer: Total Officers,Officer: Total Institutional Affililiations,Officer: Total Honors,Officer: Total Athenian Honors,Officer: Total Roman Honors,Officer: Total Eleusinian Honors,Officer: RCA,Officer: PA,Officer: PAA,Officer: LGPN,Officer: Uncertain,Inscription: Character Count,Inscription: Diplomatic Character Count,Inscription: Word Count,Inscription: Diplomatic Word Count,Inscription: Total Institutions,Inscription: Total Honors,Inscription: Total People,Inscription: Total Sponsors,Inscription: Total Honorands,Inscription: Total Athenians,Inscription: Total Romans,Institution: ID,Office: ID,Officer: ID,Inscription: ID,Institution: Notes,Office: Notes,Officer: Notes,Inscription: Notes
Areopagus,Athens,Public,Epimelite of the City,Athens,Magistracy,Apollonios Seilonos,Athens,Male,Apollonios Seilonos,,True,False,,,351,"Statue Base for Seilon Apolloniou Meliteus, Hearth-Initiate",Base,Dedication,,50.0,20,0.0180,84,7,68,43,56,151,203,164,274,104,2,6,6,6,3,0,6,3,0,3,2,1,0,,1,1,1,0,0,,,,,False,145,130,48,35,3,1,2,3,1,2,0,1000,3058,2148,351,,,,
Areopagus,Athens,Public,Epimelite of the City,Athens,Magistracy,Ti. Kl. Lysiades Patronos,Athens,Male,Tiberius Claudius Lysiades Patronos,,True,True,,TBD,371,"Statue Base for Klaudia Philoxena, Hierophantis",Base,Dedication,,97.5,15,0.0250,84,7,68,43,56,151,203,164,274,104,2,6,6,6,3,0,6,3,0,3,2,1,0,,1,1,1,0,0,,,,,False,252,196,53,38,0,2,3,1,1,3,0,1000,3058,2174,371,,,,
Areopagus,Athens,Public,Epimelite of the City,Athens,Magistracy,G. Kasios Semakhidai,Athens,Male,Gaius Casius Semakhidai,Semakhidai,True,True,,,522,"Statue Base for Nikostrate Menneou Berenikidou, Hearth-Initiate",Base,Dedication,,187.5,25,0.0220,84,7,68,43,56,151,203,164,274,104,2,6,6,6,3,0,6,3,0,3,2,1,0,,1,1,1,0,0,,,,,False,169,160,40,33,2,1,2,2,1,2,0,1000,3058,2392,522,,,,
Areopagus,Athens,Public,Archon,Athens,Magistracy,L. Memmius Altar-Priest,Athens,Male,Lucius Memmius,,True,True,,TBD,503,"Statue Base for L. Memmios, Altar-Priest, of Thorikos",Other/Fragment,Dedication,Before the Telestrion,178.5,3,0.0250,84,7,68,43,56,151,203,164,274,104,4,2,2,2,2,0,2,2,0,9,3,2,3,,7,9,6,1,2,,,,,False,512,438,101,84,4,6,5,3,1,1,4,1000,3094,2339,503,,,,
Areopagus,Athens,Public,Archon,Athens,Magistracy,L. Memmius Altar-Priest,Athens,Male,Lucius Memmius,,True,True,,TBD,493,"Statue Base for Ael. Kephisodora, Daughter of Daduch Kl. Lysiades",Building or Monument,Dedication,,170.0,10,0.0250,84,7,68,43,56,151,203,164,274,104,4,2,2,2,2,0,2,2,0,9,3,2,3,,7,9,6,1,2,,,,,False,371,176,113,56,1,5,5,3,1,5,0,1000,3094,2339,493,,,,
Areopagus,Athens,Public,Archon,Athens,Magistracy,Casianus Hierokeryx,Athens,Male,Casianus Casianus Hierokeryx,,True,True,,,645,"Statue Base for Kassianos, Hierokeryx",Base,Dedication,Before the Telestrion,236.0,10,0.0350,84,7,68,43,56,151,203,164,274,104,4,2,2,2,2,0,2,2,0,9,3,1,3,,4,5,3,1,1,,,,,False,119,115,21,19,3,6,1,3,1,1,0,1000,3094,2503,645,,,,
Areopagus,Athens,Public,Eponymous Archon,Athens,Magistracy,Apolexis I,Athens,Male,Apolexis,Oion,True,False,,,299,"Statue Base for Lamidion. Daughter of Apolexis Ex Oiou, Hearth-Initiate",Base,Dedication,,-25.0,10,0.0150,84,7,68,43,56,151,203,164,274,104,22,25,26,25,20,0,26,21,0,19,18,1,0,,1,1,1,0,0,,,,,False,122,97,36,20,0,1,3,2,1,3,0,1000,3006,2056,299,,,,
Areopagus,Athens,Public,Eponymous Archon,Athens,Magistracy,Theophilos Eudoxou,Athens,Male,Theophilos Eudoxou,,True,False,,,331,Statue Base for Emperor Tiberius,Base,Dedication,,25.5,23,0.0350,84,7,68,43,56,151,203,164,274,104,22,25,26,25,20,0,26,21,0,19,18,1,0,,1,2,2,0,0,,,,,False,127,41,41,18,0,1,3,1,1,2,1,1000,3006,2130,331,,,,
Areopagus,Athens,Public,Eponymous Archon,Athens,Magistracy,Menandros Asklepiodotou,Athens,Male,Menandros Asklepiodotou,,True,False,,,333,Statue Base for Menandros Asklepiodotou Gargettios,Base,Dedication,Before the Telestrion,20.0,10,0.0220,84,7,68,43,56,151,203,164,274,104,22,25,26,25,20,0,26,21,0,19,18,1,0,,2,3,2,1,0,,,,,False,119,85,30,19,0,1,1,0,1,1,0,1000,3006,2131,333,,,,
Areopagus,Athens,Public,Eponymous Archon,Athens,Magistracy,Thrasyllos Kholleides,Athens,Male,Thrasyllos,Kholleidai,True,False,,,445,Statue Base for Thrasyllos of Kholleidai,Base,Dedication,,135.0,10,0.0210,84,7,68,43,56,151,203,164,274,104,22,25,26,25,20,0,26,21,0,19,18,1,1,,2,2,2,0,0,,,,,False,115,29,30,12,1,2,2,1,1,2,0,1000,3006,2240,445,,,,
Areopagus,Athens,Public,Eponymous Archon,Athens,Magistracy,L. Vipsanius Aiolion,Athens,Male,Lucius Vipsanius Aiolion,,True,True,,TBD,456,"Statue Base for Relative of L. Vipsanios Aiolion, Exegete of the Eumolpidai",Base,Dedication,,145.0,10,0.0315,84,7,68,43,56,151,203,164,274,104,22,25,26,25,20,0,26,21,0,19,18,2,3,,5,6,5,0,1,,,,,False,42,14,14,7,1,1,3,0,1,3,0,1000,3006,2250,456,,,,
Areopagus,Athens,Public,Eponymous Archon,Athens,Magistracy,L. Vipsanius Aiolion,Athens,Male,Lucius Vipsanius Aiolion,,True,True,,TBD,455,"Statue Base for L. Vipsanios Aiolion Phlyeus, Exegete of the Eumolpidai",Base,Dedication,,145.0,10,0.0260,84,7,68,43,56,151,203,164,274,104,22,25,26,25,20,0,26,21,0,19,18,2,3,,5,6,5,0,1,,,,,False,378,101,124,31,4,6,3,3,3,3,0,1000,3006,2250,455,,,,
Areopagus,Athens,Public,Eponymous Archon,Athens,Magistracy,L. Vipsanius Lailianos,Athens,Male,Lucius Vipsanius Lailianos,,True,True,,TBD,456,"Statue Base for Relative of L. Vipsanios Aiolion, Exegete of the Eumolpidai",Base,Dedication,,145.0,10,0.0315,84,7,68,43,56,151,203,164,274,104,22,25,26,25,20,0,26,21,0,19,18,2,3,,1,1,1,0,0,,,,,False,42,14,14,7,1,1,3,0,1,3,0,1000,3006,2251,456,,,,
Areopagus,Athens,Public,Eponymous Archon,Athens,Magistracy,L. Vipsanius Lailianos,Athens,Male,Lucius Vipsanius Lailianos,,True,True,,TBD,455,"Statue Base for L. Vipsanios Aiolion Phlyeus, Exegete of the Eumolpidai",Base,Dedication,,145.0,10,0.0260,84,7,68,43,56,151,203,164,274,104,22,25,26,25,20,0,26,21,0,19,18,2,3,,1,1,1,0,0,,,,,False,378,101,124,31,4,6,3,3,3,3,0,1000,3006,2251,455,,,,
Areopagus,Athens,Public,Eponymous Archon,Athens,Magistracy,Philipe Kl. Demostratou,Athens,Female,Claudia Philipe Demostratou,Pallene,True,True,Demostratid,Claudii of Melite,463,Statue Base for Menandra of Ephesos,Base,Dedication,,150.0,50,0.0170,84,7,68,43,56,151,203,164,274,104,22,25,26,25,20,0,26,21,0,19,18,1,0,,6,8,7,0,1,95,,,,False,675,471,153,90,2,23,4,0,1,4,0,1000,3006,2270,463,,,"Wife of Ti. Kl. Nikoteles (93), mother of Kl. Demostratos (94)",
Areopagus,Athens,Public,Eponymous Archon,Athens,Magistracy,Ail. Praxagoras,Athens,Male,Aelius Praxagoras Themistokleous,Melite,True,True,Praxagorid-Demostratid,Claudii of Melite,632,"Statue Base for Kl. Menandra, Daughter of the Daduch Kl. Philippos",Base,Dedication,Before the Telestrion,210.0,10,0.0350,84,7,68,43,56,151,203,164,274,104,22,25,26,25,20,0,26,21,0,19,18,8,0,,2,13,10,0,3,140,,,,False,173,162,45,41,3,1,5,3,1,5,0,1000,3006,2277,632,,,"First in the Praxagorid line to hold Daduchy, descended from Themistokles, brother of T. Kl. Lysiades (Lysiades being the second in the Leonid line to hold the daduchy). Paternal grandson of Themistokles",
Areopagus,Athens,Public,Eponymous Archon,Athens,Magistracy,Ail. Praxagoras,Athens,Male,Aelius Praxagoras Themistokleous,Melite,True,True,Praxagorid-Demostratid,Claudii of Melite,521,"Statue Base for Kl. Menandra, Daughter of Kl. Philippos",Base,Dedication,,187.5,25,0.0350,84,7,68,43,56,151,203,164,274,104,22,25,26,25,20,0,26,21,0,19,18,8,0,,2,13,10,0,3,140,,,,False,113,43,35,15,0,2,3,0,1,3,0,1000,3006,2277,521,,,"First in the Praxagorid line to hold Daduchy, descended from Themistokles, brother of T. Kl. Lysiades (Lysiades being the second in the Leonid line to hold the daduchy). Paternal grandson of Themistokles",
Areopagus,Athens,Public,Eponymous Archon,Athens,Magistracy,Ail. Praxagoras,Athens,Male,Aelius Praxagoras Themistokleous,Melite,True,True,Praxagorid-Demostratid,Claudii of Melite,520,"Statue Base for Kl. Themistokleia, Daughter of the Daduch Kl. Philippos, Hearth-Initiate",Base,Dedication,,187.5,25,0.0300,84,7,68,43,56,151,203,164,274,104,22,25,26,25,20,0,26,21,0,19,18,8,0,,2,13,10,0,3,140,,,,False,120,93,28,19,2,3,3,0,1,3,0,1000,3006,2277,520,,,"First in the Praxagorid line to hold Daduchy, descended from Themistokles, brother of T. Kl. Lysiades (Lysiades being the second in the Leonid line to hold the daduchy). Paternal grandson of Themistokles",
Areopagus,Athens,Public,Eponymous Archon,Athens,Magistracy,Ail. Praxagoras,Athens,Male,Aelius Praxagoras Themistokleous,Melite,True,True,Praxagorid-Demostratid,Claudii of Melite,514,Catalog of the Prytaneis of the Tribe of Antiokhis,Stele,Other/Uncertain,South Wall,191.0,10,0.0110,84,7,68,43,56,151,203,164,274,104,22,25,26,25,20,0,26,21,0,19,18,8,0,,2,13,10,0,3,140,,,,False,951,605,217,115,2,7,40,1,0,39,1,1000,3006,2277,514,,,"First in the Praxagorid line to hold Daduchy, descended from Themistokles, brother of T. Kl. Lysiades (Lysiades being the second in the Leonid line to hold the daduchy). Paternal grandson of Themistokles",
Areopagus,Athens,Public,Eponymous Archon,Athens,Magistracy,Ail. Praxagoras,Athens,Male,Aelius Praxagoras Themistokleous,Melite,True,True,Praxagorid-Demostratid,Claudii of Melite,480,"Statue Base for an Unknown Son of P. Ael. Praxagoras Meliteus, Hearth-Initiate",Base,Dedication,South Wall,165.0,10,0.0460,84,7,68,43,56,151,203,164,274,104,22,25,26,25,20,0,26,21,0,19,18,8,0,,2,13,10,0,3,140,,,,False,64,17,19,8,0,1,2,0,1,2,0,1000,3006,2277,480,,,"First in the Praxagorid line to hold Daduchy, descended from Themistokles, brother of T. Kl. Lysiades (Lysiades being the second in the Leonid line to hold the daduchy). Paternal grandson of Themistokles",
Areopagus,Athens,Public,Eponymous Archon,Athens,Magistracy,Ail. Praxagoras,Athens,Male,Aelius Praxagoras Themistokleous,Melite,True,True,Praxagorid-Demostratid,Claudii of Melite,479,Statue Base for Aelius Praxagoras Themistokles Meliteus,Base,Dedication,South Wall,165.0,10,0.0280,84,7,68,43,56,151,203,164,274,104,22,25,26,25,20,0,26,21,0,19,18,8,0,,2,13,10,0,3,140,,,,False,215,72,52,23,0,4,4,0,1,4,0,1000,3006,2277,479,,,"First in the Praxagorid line to hold Daduchy, descended from Themistokles, brother of T. Kl. Lysiades (Lysiades being the second in the Leonid line to hold the daduchy). Paternal grandson of Themistokles",
Areopagus,Athens,Public,Eponymous Archon,Athens,Magistracy,Ail. Praxagoras,Athens,Male,Aelius Praxagoras Themistokleous,Melite,True,True,Praxagorid-Demostratid,Claudii of Melite,478,Statue Base for Ael. Praxagoras Themistokleous Meliteus,Base,Dedication,South Wall,165.0,10,0.0320,84,7,68,43,56,151,203,164,274,104,22,25,26,25,20,0,26,21,0,19,18,8,0,,2,13,10,0,3,140,,,,False,203,77,49,20,0,4,4,0,1,4,0,1000,3006,2277,478,,,"First in the Praxagorid line to hold Daduchy, descended from Themistokles, brother of T. Kl. Lysiades (Lysiades being the second in the Leonid line to hold the daduchy). Paternal grandson of Themistokles",
Areopagus,Athens,Public,Eponymous Archon,Athens,Magistracy,Ail. Praxagoras,Athens,Male,Aelius Praxagoras Themistokleous,Melite,True,True,Praxagorid-Demostratid,Claudii of Melite,468,Statue Base for Ael. Praxagoras of Melite,Base,Dedication,,150.0,50,0.0330,84,7,68,43,56,151,203,164,274,104,22,25,26,25,20,0,26,21,0,19,18,8,0,,2,13,10,0,3,140,,,,False,143,40,44,22,0,1,3,0,1,3,0,1000,3006,2277,468,,,"First in the Praxagorid line to hold Daduchy, descended from Themistokles, brother of T. Kl. Lysiades (Lysiades being the second in the Leonid line to hold the daduchy). Paternal grandson of Themistokles",
Areopagus,Athens,Public,Eponymous Archon,Athens,Magistracy,T. Fl. Alkibiades (II),Athens,Male,Titus Flavius Alkibiades,Paiania,True,True,,Alcibiad,483,"Statue Base T. Fl. Hierophantes Paianieus, Son of T. Fl. Alkibiades",Base,Dedication,Before the Telestrion,167.0,10,0.0130,84,7,68,43,56,151,203,164,274,104,22,25,26,25,20,0,26,21,0,19,18,1,0,,4,5,5,0,0,131,,,,False,1196,996,273,202,4,12,9,3,1,8,1,1000,3006,2303,483,,,,
