"IE","Sponsor","Honorand","Inscription","Object Type","Inscription Type","Location","Date","Date Span","Word Count","Character Count","Text","References","Sponsor Class","Sponsor Origin","Sponsor Status","Sponsor Type","Sponsor Gender","Sponsor Family","Sponsor Extended Family","Sponsor Deme","Honorand Origin","Honorand Status","Honorand Type","Honorand Gender","Honorand Family","Honorand Extended Family","Honorand Deme","Inscription ID","Sponsor ID","Honorand ID","Sponsor Uncertainty","Honorand Uncertainty"
"271","Dionysiac Technitai","Philemon","Honorary Decree of the Synod of Dionysiac Artists in Honor of their Epimelete Philemon","Base","Decree","",-73,6,421,2249,"τῆι πόλει τῆι Ἀθηναίων περι νδιων ἀπαλλαγέντες το ἄνθρωποι διεξαγωγὴν τῶν μὲν παράδοσιν ἐποιήσατο θυσίας δὲ καὶ μυστήρια καὶ καὶ ἀγῶνας θυμελικούς τε καὶ σκηνικοὺς αὐτὸς ἐπιτελεῖν ἐψηφίσατο καὶ ἡ σύνοδος τῶν περὶ τὸν Διόνυσον τεχνιτῶν διὰ παντὸς αὐτῶι συναύξουσα καθ ὅσον ἐστὶ δυνατὴ τάς τε θυσίας καὶ τἄλλα πάντα τὰ ἐψηφισμένα ὑπ αὐτοῦ τοῖς τε θεοῖς καὶ τοῖς εὐεργέταις τίμια ἐψηφίσατο καὶ αὐτὴ θύειν καὶ σπένδειν τῆι Δήμητρι καὶ τῆι Κόρηι ταῖς μυστηριώτισιν ἡμέραις καὶ βωμὸν ἱδρυσαμ ένη καὶ τέμενος κατασκευάσασα ἐν Ἐλευσῖνι σπονδὰς καὶ παιᾶνας ἐπιτελεῖν ὧν ἐπισχεθέντων ἐπὶ ἔτη καὶ πλείονα καὶ τοῦ τε βωμοῦ καὶ τοῦ τεμένους ἀναιρεθέντος διὰ τὴν κοινὴν περίστασιν Φιλήμων ἐπιμελητὴς τὸ τρίτον γενόμενος ἐν τῶι ἐπὶ Αἰσχραίου ἄρχοντος ἐνιαυτῶι ἀνεκτήσατο τὰς πατρίους ταῖς θεαῖς θυσίας καὶ πρῶτος αὐτὸς θύσας ἐν Ἐ λευσῖνι τῆι Δήμητρι καὶ τῆι Κόρηι καὶ τὴν λοιπὴν δαπάνην καὶ χορηγίαν ἐπιδεξάμενος ὑπεδέξατο τὴν σύνοδον ἐκ τῶν ἰδίων προσεμέρισεν δὲ καὶ ἐκ τῶν κοινῶν εἰς ἄλλας ἡμέρας δύο καὶ ἐμ πάσαις καλλιερήσας ταῖς ἡμέραις τὰς ἐψηφισμένας ὑπὸ τῶν πατέρων σπονδὰς καὶ ἐπιχύσεις καὶ παιᾶνας ταῖς θεαῖς ἐπετέλεσεν ὧν ἀσμένως οἱ τεχνῖται λαβόντες ἀνάμνησιν παρεκάλεσαν αὐτὸν καὶ προετρέψαντο μετὰ πάσης προθυμίας προνοηθῆναι καὶ τῆς τοῦ τεμένους κατασκευῆς ὅπως ἐπὶ τῆς πατρώιας ἑστίας ἀνεμποδίστως κατ ἐνιαυτὸν ἐπιτελῶσιν τὰς θυσίας ὁ δὲ καὶ διὰ τὴν πρὸς τὰς θεὰς εὐσέβειαν καὶ διὰ τὴν πρὸς τοὺς τεχνίτας ἀνυπέρθε τον εὔνοιαν διὰ τῆς ἰδίας ἐπιμελείας ἐξ ὧν ἀνεῦρεν αὐτὸς τῆι συνόδωι προσόδων τὴν κατασκευὴν τοῦ τεμένους ἐποιήσατο καὶ τὸν ἀνειρημένον ὑπὸ τῆς περιστάσεως βωμὸν αὐτὸς πάλιν καθιδρύσατο προενοήθη δὲ ἐκτενῶς καὶ τῆς τῶν κοινῶν ἐμ πᾶσιν ἐπανορθώσεως καὶ τὸν κύκλον τῶν δανείων μεταπαρέδωκεν ἐκβαί νων ἐκ τῶν ἐπιμελειτειῶν πολλοῖς ἐπευξημένον χρήμασιν ὥστε μὴ μόνον εἰς ἃς ἀνενεώσατο τῆι Δήμητρι καὶ τῆι Κόρηι θυσίας ἀλλὰ καὶ εἰς ἑτέρας πλείονας διὰ τὴν τούτου σπουδὴν γεγονέναι τῆι συνόδωι προσόδους βιασαμένων δὲ αὐτὸν τῶν τεχνιτῶν πάλιν τὸ τέταρτον ὑπομεῖναι ἐπιμελητὴν εἰς τὸν ἐπὶ Σελεύκου ἄρχοντος ἐνιαυ τὸν πρὸς ταῖς λοιπαῖς εἰσφοραῖς καὶ χορηγίαις καὶ ἐν Ἐλευσῖνι θύσας ἔν τε τῶι ἱερῶι καὶ ἐν ὧι πρῶτος αὐτὸς κατεσκευάσατο τεμένει ἐφ οὗ ἱδρύσατο βωμοῦ τά τε θύματα καὶ τὴν λοιπὴν χορηγίαν πᾶσαν ἐπιδεξάμενος ὑπεδέξατο τὴν σύνοδον ἐκ τῶν ἰδίων μεγαλομερῶς προσεμέρισε δὲ καὶ τὰς διατεταγμένας ἐκ τῶν κοινῶν ἡμέρας δύο καὶ ἐμ πά σαις ἐκαλλιέρησε ταῖς θεαῖς καὶ τὰς πατρίους σπονδὰς ἐπετέλεσεν πολλὰ δὲ καὶ ἄλλα ἐπολιτεύσατο καλὰ καὶ συμφέροντα τῆι συνόδωι καὶ προσεδαπάνησεν ἐκ τῶν ἰδίων ἔν τε ταῖς ἐπιμελητείαις καὶ ἱερωσύναις προκρίνων τὴν τῶν τεχνιτῶν εὔνοιαν παντὸς χρήματος οὐ μόνον δὲ πρὸς τὴν σύνοδον διακείμενος ἀποδοχῆς ἠξιώθη ἐκ τῶν νόμων καὶ","IG II2 1338,SEG 56 204","Institution","Athenian","","Private","","","","","Athenian","Athenian without Roman Citizenship","","Male","","","",271,1004,2012,f,f
"273","Medeios Medeiou","Timothea Medeiou","Statue Base for Timothea, Daughter of Medeios Medeiou Peiraieus","Stele","Dedication","",-70,10,18,115,"Μήδειος Μηδείου Πειραιεὺς καὶ Διφίλα Διοκλέους Μελιτέως θυγάτηρ τὴν θυγατέρα Τιμοθέαν μυηθεῖσαν ἀφ ἑστίας Δήμητρι καὶ Κόρηι ἀνέθηκαν","IG II2 3491","Person","Athenian","Athenian without Roman Citizenship","","Male","Medeiotes","","Peiraius","Athenian","Athenian without Roman Citizenship","","Female","Medeiotes","","Peiraius",273,2019,2021,f,f
"273","Diphila Diokleous","Timothea Medeiou","Statue Base for Timothea, Daughter of Medeios Medeiou Peiraieus","Stele","Dedication","",-70,10,18,115,"Μήδειος Μηδείου Πειραιεὺς καὶ Διφίλα Διοκλέους Μελιτέως θυγάτηρ τὴν θυγατέρα Τιμοθέαν μυηθεῖσαν ἀφ ἑστίας Δήμητρι καὶ Κόρηι ἀνέθηκαν","IG II2 3491","Person","Athenian","Athenian without Roman Citizenship","","Female","Medeiotes","","Melite","Athenian","Athenian without Roman Citizenship","","Female","Medeiotes","","Peiraius",273,2020,2021,f,f
"274","Boule","[?] Tamias","Dedication in Honor of a Tamias","Base","Dedication","",-61.5,1,7,30,"ἡ βουλὴ ἡ ἐπὶ Ἀρισταίου ταμιεύ σαντα","IG II2 3219","Institution","Athenian","","Public","","","","","Athenian","Athenian without Roman Citizenship","","Male","","","",274,1001,2022,f,f
"275","Boule","Medeios Medeiou","Statue Base for Medeios Medeiou Peiraieus, Exegete of the Eumolpidai","Base","Dedication","North of the Telesterion",-60,10,44,233,"ἡ βουλὴ καὶ ὁ δῆμος Μήδειον Μηδείου Πειραιέα τὸν ἐξηγητὴν ἐκ τοῦ γένους τοῦ Εὐμολπιδῶν εὐσεβείας ἕνεκα τῆς πρὸς τὼ θεὼ καὶ ἐπιμελείας καὶ φιλοτιμίας τῆς περὶ τὴν ἐξήγησιν τῶν ἱερῶν καὶ πατρίων Δήμητρι καὶ Κόρῃ ἀνέθηκαν ἐπὶ ἱερείας Κλεοκρατείας τῆς Οἰνοφίλου Ἀφιδναίου θυγατρός","IG II2 3490","Institution","Athenian","","Public","","","","","Athenian","Athenian without Roman Citizenship","","Male","Medeiotes","","Peiraius",275,1001,2019,f,f
"275","Demos","Medeios Medeiou","Statue Base for Medeios Medeiou Peiraieus, Exegete of the Eumolpidai","Base","Dedication","North of the Telesterion",-60,10,44,233,"ἡ βουλὴ καὶ ὁ δῆμος Μήδειον Μηδείου Πειραιέα τὸν ἐξηγητὴν ἐκ τοῦ γένους τοῦ Εὐμολπιδῶν εὐσεβείας ἕνεκα τῆς πρὸς τὼ θεὼ καὶ ἐπιμελείας καὶ φιλοτιμίας τῆς περὶ τὴν ἐξήγησιν τῶν ἱερῶν καὶ πατρίων Δήμητρι καὶ Κόρῃ ἀνέθηκαν ἐπὶ ἱερείας Κλεοκρατείας τῆς Οἰνοφίλου Ἀφιδναίου θυγατρός","IG II2 3490","Institution","Athenian","","Public","","","","","Athenian","Athenian without Roman Citizenship","","Male","Medeiotes","","Peiraius",275,1002,2019,f,f
"276","Demos","T. Pinarius","Statue Base for Titus Pinarius","Base","Dedication","",-50,10,8,39,"ὁ δῆμος Τίτον Πινάριον Τίτου υἱὸν ἀρετῆς ἕνεκα","IG II2 4108","Institution","Athenian","","Public","","","","","Roman","Non-Athenian","","Male","","","",276,1002,2023,f,f
"277","Ktesikleia Apollonioiu","Sophokles Xenokleous","Statue Base for Sophokles Xenokleous Acharneus, Daduch","Base","Dedication","",-50,20,15,109,"Κτησίκλεια Ἀπολλωνίου Ἀχαρνέως θυγάτηρ τὸν ἑαυτῆς ἄνδρα Σοφοκλῆν Ξενοκλέους Ἀχαρνέα δᾳδουχήσαντα Δήμητρι καὶ Κόρηι ἀνέθηκεν","IG II2 3507,Schmalz 161","Person","Athenian","Athenian without Roman Citizenship","","Female","","","","Athenian","Athenian without Roman Citizenship","","Male","","","Akharnai",277,2024,2025,f,f
"280","Demos","Kleo Dionysiou","Statue Base for Kleo, Daughter of Dionysios Lakrateidou Ikarieus","Base","Dedication","Between the Propylaea",-50,20,8,49,"ὁ δῆμος Κλεὼ Διονυσίου τοῦ Λακρατείδου Ἰκαριέως θυγατέρα","IG II2 4037","Institution","Athenian","","Public","","","","","Athenian","Athenian without Roman Citizenship","","Female","","","Ikarion",280,1002,2027,f,f
"282","Boule","[?] Heath-Initiate","Statue Base for Unknown Hearth-Initiate","Stele","Dedication","Between the Propylaea",-50,20,21,109,"ἐπὶ ἱερείας Χαιρίου τῆς Διονυσίου Μαραθωνίου θυγατρός ἡ βουλὴ ὁ δῆμος ἀφ ἑστίας μυηθεῖσαν ἡ βουλὴ ὁ δῆμος κανηφορήσασαν Σα ράπιδι","IG II2 3498","Institution","Athenian","","Public","","","","","Athenian","Athenian without Roman Citizenship","","Uncertain","","","",282,1001,2029,f,f
"282","Demos","[?] Heath-Initiate","Statue Base for Unknown Hearth-Initiate","Stele","Dedication","Between the Propylaea",-50,20,21,109,"ἐπὶ ἱερείας Χαιρίου τῆς Διονυσίου Μαραθωνίου θυγατρός ἡ βουλὴ ὁ δῆμος ἀφ ἑστίας μυηθεῖσαν ἡ βουλὴ ὁ δῆμος κανηφορήσασαν Σα ράπιδι","IG II2 3498","Institution","Athenian","","Public","","","","","Athenian","Athenian without Roman Citizenship","","Uncertain","","","",282,1002,2029,f,f
"283","Boule","[?] Heath-Initiate","Statue Base for an Unknown Hearth-Initiate","Base","Dedication","Between the Propylaea",-50,20,9,47,"ἡ βουλὴ κανηφορήσασαν Ἴσιδι ἡ βουλὴ ἀφ ἑστίας μυηθεῖσαν","IG II2 3727","Institution","Athenian","","Public","","","","","Athenian","Athenian without Roman Citizenship","","Uncertain","","","",283,1001,2030,f,f
"285","Demos","[?] Daduch from Hagnous","Statue Base for an Unknown Daduch of Hagnous","Base","Dedication","",-40,20,22,107,"ὁ δῆμος δαιδοῦχον Ἁγνούσιον ἀρετῆς ἕνεκεν καὶ εὐνοίας τῆς εἰς ἑαυτὸν καὶ τῆς πρὸς τὰς θεὰς εὐσεβείας Δή μητρι καὶ Κόρηι ἀνέθηκεν","SEG 56 4","Institution","Athenian","","Public","","","","","Athenian","Athenian without Roman Citizenship","","Male","Hagnous/Akharnid Daduchs","Hagnous/Akharnid Daduchs","Hagnous",285,1002,2032,f,f
"286","Demos","Dionysios Athenagorou","Statue Base for Dionysios Athenagorou Meliteus","Base","Dedication","Between the Propylaea",-37.5,25,13,73,"ὁ δῆμος Διονύσιον Ἀθηναγόρου Μελιτέα ἀρετῆς ἕνεκεν καὶ εὐνοίας τῆς εἰς ἑατὸν ἀνέθηκεν","IG II2 3913,Schmalz 209","Institution","Athenian","","Public","","","","","Athenian","Athenian without Roman Citizenship","","Male","Athenagoridai","","Melite",286,1002,2033,f,f
"288","Demos","[?] Hierophantis Amphiou","State Base for Hierophantis Amphiou Philadou","Base","Dedication","",-32.5,35,13,73,"ὁ δῆμος Ἱερόφαντιν Ἀμφίου Φιλάδου θυγατέρα εὐσεβήας ἕνεκεν τῆς πρὸς τὰς θεὰς ἀνέθηκεν","IG II2 3514","Institution","Athenian","","Public","","","","","Athenian","Athenian without Roman Citizenship","","Female","","","",288,1002,2037,f,f
"289","Demos","L. Munatius Plancus","Statue Base for Lucius Munatius Plancus","Base","Dedication","South Wall",-36,10,12,74,"ὁ δῆμος Λεύκιον Μουνάτιον Λευκίου ὑὸν Πλάγκον αὐτοκράτορα ἀρετῆς ἕνεκα καὶ εὐεργεσίας","IG II2 4112","Institution","Athenian","","Public","","","","","Roman","Non-Athenian","","Male","","","",289,1002,2038,f,f
"292","Demos","Sempronia","Statue Base for Sempronia L.F. Atratina","Base","Dedication","",-39.5,11,11,72,"ὁ δῆμος Σεμπρωνίαν Λευκίου θυγατέρα Λευκίου Γελλίου Ποπλικόλα γυναῖκα ἀρετῆς ἕνεκα","IG II2 4231","Institution","Athenian","","Public","","","","","Roman","Non-Athenian","","Female","","","",292,1002,2046,f,f
"295","Areopagus","Kallikratides Syndromou","Statue Base for Kallikratides Syndromou Trikorysios, Hoplite General","Base","Dedication","South Wall",-32.5,5,38,194,"ὁ δῆμος καὶ ἡ βουλὴ ἡ ἐξ Ἀρήου πάγου καὶ ἡ βουλὴ τῶν ἑξακοσίων τὸν ἐπὶ τοὺς ὁπλείτας στρατηγὸν Καλλικρατίδην Συνδρόμου Τρικορύσιον προνοηθέντα τοῦ περὶ τὴν πανήγυριν κόσμου ἀρετῆς ἕνεκεν καὶ φιλοτιμίας καὶ εὐσεβείας τῆς πρὸς τὼ θεώ","IG II2 3500,IG II2 3501,Schmalz 187","Institution","Athenian","","Public","","","","","Athenian","Athenian without Roman Citizenship","","Male","Oinophileid","","",295,1000,2050,f,f
"295","Boule","Kallikratides Syndromou","Statue Base for Kallikratides Syndromou Trikorysios, Hoplite General","Base","Dedication","South Wall",-32.5,5,38,194,"ὁ δῆμος καὶ ἡ βουλὴ ἡ ἐξ Ἀρήου πάγου καὶ ἡ βουλὴ τῶν ἑξακοσίων τὸν ἐπὶ τοὺς ὁπλείτας στρατηγὸν Καλλικρατίδην Συνδρόμου Τρικορύσιον προνοηθέντα τοῦ περὶ τὴν πανήγυριν κόσμου ἀρετῆς ἕνεκεν καὶ φιλοτιμίας καὶ εὐσεβείας τῆς πρὸς τὼ θεώ","IG II2 3500,IG II2 3501,Schmalz 187","Institution","Athenian","","Public","","","","","Athenian","Athenian without Roman Citizenship","","Male","Oinophileid","","",295,1001,2050,f,f
"295","Demos","Kallikratides Syndromou","Statue Base for Kallikratides Syndromou Trikorysios, Hoplite General","Base","Dedication","South Wall",-32.5,5,38,194,"ὁ δῆμος καὶ ἡ βουλὴ ἡ ἐξ Ἀρήου πάγου καὶ ἡ βουλὴ τῶν ἑξακοσίων τὸν ἐπὶ τοὺς ὁπλείτας στρατηγὸν Καλλικρατίδην Συνδρόμου Τρικορύσιον προνοηθέντα τοῦ περὶ τὴν πανήγυριν κόσμου ἀρετῆς ἕνεκεν καὶ φιλοτιμίας καὶ εὐσεβείας τῆς πρὸς τὼ θεώ","IG II2 3500,IG II2 3501,Schmalz 187","Institution","Athenian","","Public","","","","","Athenian","Athenian without Roman Citizenship","","Male","Oinophileid","","",295,1002,2050,f,f
"297","Kallikratides Syndromou","Augustus","Statue Base for Augustus Caesar as Zeus Boulaios","Base","Dedication","",-22,10,18,109,"Σεβαστὸν Καίσαρα Δία Βουλαῖον καὶ ὁ ἱερεὺς αὐτοῦ καὶ ἀγωνοθέτης καὶ κῆρυξ βουλῆς καὶ δήμου Καλλικρατίδης Συνδρόμου Τρικορύσιος","Schmalz 115,SEG 56 4,SEG 59 203","Person","Athenian","Athenian without Roman Citizenship","","Male","Oinophileid","","","Imperial Family Member","Non-Athenian","","Male","","","",297,2050,2052,f,f
"298","Demos","Theophrastos Themistokleous","Statue Base for Theophrastos Themistokleous Hagnousios, Daduch","Base","Dedication","",-25,10,24,138,"ὁ δῆμος δαιδοῦχον Θεόφραστον δαιδούχου Θεμιστοκλέους Ἁγνούσιον ἀρετῆς ἕνεκα καὶ εὐνοίας τῆς εἰς ἑαυτὸν καὶ τῆς πρὸς τὰς θεὰς εὐσεβείας Δήμητρι καὶ Κόρηι ἀνέθηκεν","IG II2 3509","Institution","Athenian","","Public","","","","","Athenian","Athenian without Roman Citizenship","","Male","Hagnous/Akharnid Daduchs","Hagnous/Akharnid Daduchs","Hagnous",298,1002,2054,f,f
"299","Apolexis I","Lamidion Apolexidos","Statue Base for Lamidion. Daughter of Apolexis Ex Oiou, Hearth-Initiate","Base","Dedication","",-25,10,21,120,"Λαμίδιον Ἀπολήξιδος ἐξ Οἴου θυγατέρα ὁ πατὴρ καὶ ἡ μήτηρ Λαδάμεια Λυσάνδρου Πειραιέως θυγάτηρ ἀφ ἑστίας μυηθεῖσαν Δήμητρι καὶ Κόρηι ἀνέθηκαν","IG II2 3519 +,Schmalz 164","Person","Athenian","Athenian without Roman Citizenship","","Male","","","Oion","Athenian","Athenian without Roman Citizenship","","Male","","","Oion",299,2056,2055,f,f
"299","Ladameia Lysandrou","Lamidion Apolexidos","Statue Base for Lamidion. Daughter of Apolexis Ex Oiou, Hearth-Initiate","Base","Dedication","",-25,10,21,120,"Λαμίδιον Ἀπολήξιδος ἐξ Οἴου θυγατέρα ὁ πατὴρ καὶ ἡ μήτηρ Λαδάμεια Λυσάνδρου Πειραιέως θυγάτηρ ἀφ ἑστίας μυηθεῖσαν Δήμητρι καὶ Κόρηι ἀνέθηκαν","IG II2 3519 +,Schmalz 164","Person","Athenian","Athenian without Roman Citizenship","","Female","","","Peiraius","Athenian","Athenian without Roman Citizenship","","Male","","","Oion",299,2057,2055,f,f
