"Source","Target","Type","Label","Start","Stop","Weight","Inscription ID","IE","Inscription","Object","Inscription Type","Location","Date","Date Span","Word Count","Character Count","Text","References"
2009,2010,"Directed","IE 270: Base",-85,350.0,1,270,"270","Statue Base for Epiphaneia, Daughter of Athenagoras Meliteus","Base","Dedication","",-85,10,23,159,"Διονύσιος Διονυσίου Σφήττιος καὶ Ἐπιφάνεια Ἑρμολύκου Μαραθωνίου θυγάτηρ Ἐπιφάνειαν Ἀθηναγόρου Μελιτέως θυγατέρα τὴν ἑαυτῶν θυγα τριδῆν μυηθεῖσαν ἀφ ἑστίας Δήμητρι καὶ Κόρηι ἀνέθηκαν","IG II2 3480"
2009,2011,"Directed","IE 270: Base",-85,350.0,1,270,"270","Statue Base for Epiphaneia, Daughter of Athenagoras Meliteus","Base","Dedication","",-85,10,23,159,"Διονύσιος Διονυσίου Σφήττιος καὶ Ἐπιφάνεια Ἑρμολύκου Μαραθωνίου θυγάτηρ Ἐπιφάνειαν Ἀθηναγόρου Μελιτέως θυγατέρα τὴν ἑαυτῶν θυγα τριδῆν μυηθεῖσαν ἀφ ἑστίας Δήμητρι καὶ Κόρηι ἀνέθηκαν","IG II2 3480"
2005,2001,"Directed","IE 268: Base",-87.5,350.0,1,268,"268","Statue Base for Ameinokleia Philanthou Phylasiou","Base","Dedication","",-87.5,25,19,115,"ἱέρειαν Δήμητρος καὶ Κόρης Ἀμεινόκλειαν Φιλάνθου Φυλασίου θυγατέρα οἱ υἱοὶ Θεόφιλος καὶ Φιλάνθης καὶ Διοπείθης καὶ ἡ θυγάτηρ Εὐρυδίκη","IG II2 3495"
2005,2002,"Directed","IE 268: Base",-87.5,350.0,1,268,"268","Statue Base for Ameinokleia Philanthou Phylasiou","Base","Dedication","",-87.5,25,19,115,"ἱέρειαν Δήμητρος καὶ Κόρης Ἀμεινόκλειαν Φιλάνθου Φυλασίου θυγατέρα οἱ υἱοὶ Θεόφιλος καὶ Φιλάνθης καὶ Διοπείθης καὶ ἡ θυγάτηρ Εὐρυδίκη","IG II2 3495"
2005,2003,"Directed","IE 268: Base",-87.5,350.0,1,268,"268","Statue Base for Ameinokleia Philanthou Phylasiou","Base","Dedication","",-87.5,25,19,115,"ἱέρειαν Δήμητρος καὶ Κόρης Ἀμεινόκλειαν Φιλάνθου Φυλασίου θυγατέρα οἱ υἱοὶ Θεόφιλος καὶ Φιλάνθης καὶ Διοπείθης καὶ ἡ θυγάτηρ Εὐρυδίκη","IG II2 3495"
2005,2004,"Directed","IE 268: Base",-87.5,350.0,1,268,"268","Statue Base for Ameinokleia Philanthou Phylasiou","Base","Dedication","",-87.5,25,19,115,"ἱέρειαν Δήμητρος καὶ Κόρης Ἀμεινόκλειαν Φιλάνθου Φυλασίου θυγατέρα οἱ υἱοὶ Θεόφιλος καὶ Φιλάνθης καὶ Διοπείθης καὶ ἡ θυγάτηρ Εὐρυδίκη","IG II2 3495"
2004,2001,"Directed","IE 268: Base",-87.5,350.0,1,268,"268","Statue Base for Ameinokleia Philanthou Phylasiou","Base","Dedication","",-87.5,25,19,115,"ἱέρειαν Δήμητρος καὶ Κόρης Ἀμεινόκλειαν Φιλάνθου Φυλασίου θυγατέρα οἱ υἱοὶ Θεόφιλος καὶ Φιλάνθης καὶ Διοπείθης καὶ ἡ θυγάτηρ Εὐρυδίκη","IG II2 3495"
2004,2002,"Directed","IE 268: Base",-87.5,350.0,1,268,"268","Statue Base for Ameinokleia Philanthou Phylasiou","Base","Dedication","",-87.5,25,19,115,"ἱέρειαν Δήμητρος καὶ Κόρης Ἀμεινόκλειαν Φιλάνθου Φυλασίου θυγατέρα οἱ υἱοὶ Θεόφιλος καὶ Φιλάνθης καὶ Διοπείθης καὶ ἡ θυγάτηρ Εὐρυδίκη","IG II2 3495"
2004,2003,"Directed","IE 268: Base",-87.5,350.0,1,268,"268","Statue Base for Ameinokleia Philanthou Phylasiou","Base","Dedication","",-87.5,25,19,115,"ἱέρειαν Δήμητρος καὶ Κόρης Ἀμεινόκλειαν Φιλάνθου Φυλασίου θυγατέρα οἱ υἱοὶ Θεόφιλος καὶ Φιλάνθης καὶ Διοπείθης καὶ ἡ θυγάτηρ Εὐρυδίκη","IG II2 3495"
2004,2005,"Directed","IE 268: Base",-87.5,350.0,1,268,"268","Statue Base for Ameinokleia Philanthou Phylasiou","Base","Dedication","",-87.5,25,19,115,"ἱέρειαν Δήμητρος καὶ Κόρης Ἀμεινόκλειαν Φιλάνθου Φυλασίου θυγατέρα οἱ υἱοὶ Θεόφιλος καὶ Φιλάνθης καὶ Διοπείθης καὶ ἡ θυγάτηρ Εὐρυδίκη","IG II2 3495"
2003,2001,"Directed","IE 268: Base",-87.5,350.0,1,268,"268","Statue Base for Ameinokleia Philanthou Phylasiou","Base","Dedication","",-87.5,25,19,115,"ἱέρειαν Δήμητρος καὶ Κόρης Ἀμεινόκλειαν Φιλάνθου Φυλασίου θυγατέρα οἱ υἱοὶ Θεόφιλος καὶ Φιλάνθης καὶ Διοπείθης καὶ ἡ θυγάτηρ Εὐρυδίκη","IG II2 3495"
2003,2002,"Directed","IE 268: Base",-87.5,350.0,1,268,"268","Statue Base for Ameinokleia Philanthou Phylasiou","Base","Dedication","",-87.5,25,19,115,"ἱέρειαν Δήμητρος καὶ Κόρης Ἀμεινόκλειαν Φιλάνθου Φυλασίου θυγατέρα οἱ υἱοὶ Θεόφιλος καὶ Φιλάνθης καὶ Διοπείθης καὶ ἡ θυγάτηρ Εὐρυδίκη","IG II2 3495"
2003,2004,"Directed","IE 268: Base",-87.5,350.0,1,268,"268","Statue Base for Ameinokleia Philanthou Phylasiou","Base","Dedication","",-87.5,25,19,115,"ἱέρειαν Δήμητρος καὶ Κόρης Ἀμεινόκλειαν Φιλάνθου Φυλασίου θυγατέρα οἱ υἱοὶ Θεόφιλος καὶ Φιλάνθης καὶ Διοπείθης καὶ ἡ θυγάτηρ Εὐρυδίκη","IG II2 3495"
2003,2005,"Directed","IE 268: Base",-87.5,350.0,1,268,"268","Statue Base for Ameinokleia Philanthou Phylasiou","Base","Dedication","",-87.5,25,19,115,"ἱέρειαν Δήμητρος καὶ Κόρης Ἀμεινόκλειαν Φιλάνθου Φυλασίου θυγατέρα οἱ υἱοὶ Θεόφιλος καὶ Φιλάνθης καὶ Διοπείθης καὶ ἡ θυγάτηρ Εὐρυδίκη","IG II2 3495"
2002,2001,"Directed","IE 268: Base",-87.5,350.0,1,268,"268","Statue Base for Ameinokleia Philanthou Phylasiou","Base","Dedication","",-87.5,25,19,115,"ἱέρειαν Δήμητρος καὶ Κόρης Ἀμεινόκλειαν Φιλάνθου Φυλασίου θυγατέρα οἱ υἱοὶ Θεόφιλος καὶ Φιλάνθης καὶ Διοπείθης καὶ ἡ θυγάτηρ Εὐρυδίκη","IG II2 3495"
2002,2003,"Directed","IE 268: Base",-87.5,350.0,1,268,"268","Statue Base for Ameinokleia Philanthou Phylasiou","Base","Dedication","",-87.5,25,19,115,"ἱέρειαν Δήμητρος καὶ Κόρης Ἀμεινόκλειαν Φιλάνθου Φυλασίου θυγατέρα οἱ υἱοὶ Θεόφιλος καὶ Φιλάνθης καὶ Διοπείθης καὶ ἡ θυγάτηρ Εὐρυδίκη","IG II2 3495"
2002,2004,"Directed","IE 268: Base",-87.5,350.0,1,268,"268","Statue Base for Ameinokleia Philanthou Phylasiou","Base","Dedication","",-87.5,25,19,115,"ἱέρειαν Δήμητρος καὶ Κόρης Ἀμεινόκλειαν Φιλάνθου Φυλασίου θυγατέρα οἱ υἱοὶ Θεόφιλος καὶ Φιλάνθης καὶ Διοπείθης καὶ ἡ θυγάτηρ Εὐρυδίκη","IG II2 3495"
2002,2005,"Directed","IE 268: Base",-87.5,350.0,1,268,"268","Statue Base for Ameinokleia Philanthou Phylasiou","Base","Dedication","",-87.5,25,19,115,"ἱέρειαν Δήμητρος καὶ Κόρης Ἀμεινόκλειαν Φιλάνθου Φυλασίου θυγατέρα οἱ υἱοὶ Θεόφιλος καὶ Φιλάνθης καὶ Διοπείθης καὶ ἡ θυγάτηρ Εὐρυδίκη","IG II2 3495"
2204,2202,"Directed","IE 397: Base",100.5,350.0,1,397,"397","Statue Base for an Unknown Individual","Base","Dedication","",100.5,199,19,94,"Ζωσίμου Κυδα ἡ γυνὴ όκλεια Μητροδώρου θυγάτηρ καὶ ὁ ὑὸς Μητρόδωρος καὶ ἡ θυγάτηρ Ἀντιὼ Δήμητρι καὶ Κόρῃ ἀνέθηκαν","IG II2 3948,IG II2 3949"
2204,2203,"Directed","IE 397: Base",100.5,350.0,1,397,"397","Statue Base for an Unknown Individual","Base","Dedication","",100.5,199,19,94,"Ζωσίμου Κυδα ἡ γυνὴ όκλεια Μητροδώρου θυγάτηρ καὶ ὁ ὑὸς Μητρόδωρος καὶ ἡ θυγάτηρ Ἀντιὼ Δήμητρι καὶ Κόρῃ ἀνέθηκαν","IG II2 3948,IG II2 3949"
2203,2202,"Directed","IE 397: Base",100.5,350.0,1,397,"397","Statue Base for an Unknown Individual","Base","Dedication","",100.5,199,19,94,"Ζωσίμου Κυδα ἡ γυνὴ όκλεια Μητροδώρου θυγάτηρ καὶ ὁ ὑὸς Μητρόδωρος καὶ ἡ θυγάτηρ Ἀντιὼ Δήμητρι καὶ Κόρῃ ἀνέθηκαν","IG II2 3948,IG II2 3949"
2203,2204,"Directed","IE 397: Base",100.5,350.0,1,397,"397","Statue Base for an Unknown Individual","Base","Dedication","",100.5,199,19,94,"Ζωσίμου Κυδα ἡ γυνὴ όκλεια Μητροδώρου θυγάτηρ καὶ ὁ ὑὸς Μητρόδωρος καὶ ἡ θυγάτηρ Ἀντιὼ Δήμητρι καὶ Κόρῃ ἀνέθηκαν","IG II2 3948,IG II2 3949"
2202,2203,"Directed","IE 397: Base",100.5,350.0,1,397,"397","Statue Base for an Unknown Individual","Base","Dedication","",100.5,199,19,94,"Ζωσίμου Κυδα ἡ γυνὴ όκλεια Μητροδώρου θυγάτηρ καὶ ὁ ὑὸς Μητρόδωρος καὶ ἡ θυγάτηρ Ἀντιὼ Δήμητρι καὶ Κόρῃ ἀνέθηκαν","IG II2 3948,IG II2 3949"
2202,2204,"Directed","IE 397: Base",100.5,350.0,1,397,"397","Statue Base for an Unknown Individual","Base","Dedication","",100.5,199,19,94,"Ζωσίμου Κυδα ἡ γυνὴ όκλεια Μητροδώρου θυγάτηρ καὶ ὁ ὑὸς Μητρόδωρος καὶ ἡ θυγάτηρ Ἀντιὼ Δήμητρι καὶ Κόρῃ ἀνέθηκαν","IG II2 3948,IG II2 3949"
2470,2468,"Directed","IE 628: Base",313,350.0,1,628,"628","Statue Base for Xenagoras, Son of Xenagoras and Praxagora","Base","Verse","",313,24,11,64,"παῖδα Ξειναγόρα καὶ Πραξαγόρας ἐσορᾷς με τὸν μύστην Δηοῦς Ξειναγόραν ὄνομα","IG II2 3686"
2470,2469,"Directed","IE 628: Base",313,350.0,1,628,"628","Statue Base for Xenagoras, Son of Xenagoras and Praxagora","Base","Verse","",313,24,11,64,"παῖδα Ξειναγόρα καὶ Πραξαγόρας ἐσορᾷς με τὸν μύστην Δηοῦς Ξειναγόραν ὄνομα","IG II2 3686"
2469,2468,"Directed","IE 628: Base",313,350.0,1,628,"628","Statue Base for Xenagoras, Son of Xenagoras and Praxagora","Base","Verse","",313,24,11,64,"παῖδα Ξειναγόρα καὶ Πραξαγόρας ἐσορᾷς με τὸν μύστην Δηοῦς Ξειναγόραν ὄνομα","IG II2 3686"
2469,2470,"Directed","IE 628: Base",313,350.0,1,628,"628","Statue Base for Xenagoras, Son of Xenagoras and Praxagora","Base","Verse","",313,24,11,64,"παῖδα Ξειναγόρα καὶ Πραξαγόρας ἐσορᾷς με τὸν μύστην Δηοῦς Ξειναγόραν ὄνομα","IG II2 3686"
2042,2043,"Directed","IE 675: Base",-40,350.0,1,675,"291","Statue Base of Phaidros Lysiadrou Berenikides, Dedicated by his Daughter Khrysothemis Phaidrou Berenikides","Base","Dedication","",-40,10,13,93,"Χρυσόθεμις Φαίδρου Βερενικίδου θυγάτηρ τὸν πατέρα Φαῖδρον Λυσιάδου Βερενικίδην Δήμητρι καὶ Κόρηι ἀνέθηκεν","IG II2 3513,SEG 57 42"
2229,2226,"Directed","IE 438: Base",115,350.0,1,438,"438","Statue Base for Ti. Kl. Attikos Herodes Kl. Attikou Marathonios, 'Son of Hellas'","Base","Dedication","",115,10,24,149,"Τιβέριον Κλαύδιον Ἀττικὸν Ἡρώδην Κλαυδίου Ἀττικοῦ τοῦ ἀρχιερέως ἀπὸ προγόνων υἱὸν καὶ Βιβουλλίας Ἀλκίας υἱὸν Ἑλλάδος κατὰ τὸ δόγμα τῆς Κορινθίων βουλῆς Κοκκήιος Κηνσωρεῖνος","IG II2 3604 B"
2229,2227,"Directed","IE 438: Base",115,350.0,1,438,"438","Statue Base for Ti. Kl. Attikos Herodes Kl. Attikou Marathonios, 'Son of Hellas'","Base","Dedication","",115,10,24,149,"Τιβέριον Κλαύδιον Ἀττικὸν Ἡρώδην Κλαυδίου Ἀττικοῦ τοῦ ἀρχιερέως ἀπὸ προγόνων υἱὸν καὶ Βιβουλλίας Ἀλκίας υἱὸν Ἑλλάδος κατὰ τὸ δόγμα τῆς Κορινθίων βουλῆς Κοκκήιος Κηνσωρεῖνος","IG II2 3604 B"
2229,2228,"Directed","IE 438: Base",115,350.0,1,438,"438","Statue Base for Ti. Kl. Attikos Herodes Kl. Attikou Marathonios, 'Son of Hellas'","Base","Dedication","",115,10,24,149,"Τιβέριον Κλαύδιον Ἀττικὸν Ἡρώδην Κλαυδίου Ἀττικοῦ τοῦ ἀρχιερέως ἀπὸ προγόνων υἱὸν καὶ Βιβουλλίας Ἀλκίας υἱὸν Ἑλλάδος κατὰ τὸ δόγμα τῆς Κορινθίων βουλῆς Κοκκήιος Κηνσωρεῖνος","IG II2 3604 B"
2178,2175,"Directed","IE 373: Building or Monument",97.5,350.0,1,373,"373","G. Kl. Seilianos Polykritos, Hearth-Initiate","Building or Monument","Dedication","",97.5,15,24,147,"Κλαύδιος καὶ Κλαυδία Γάιον Κλαύδιον Σειλιανὸν Πολύκριτον τὸν υἱὸν μυηθέντα ἀφ ἑστίας ταῖν Θεαῖν ἀνέθηκαν ἐπὶ ἱερείας Κλαυδίας Τειμοθέας τῆς Τειμοθέου Γαργηττίου θυ γατρός","IG II2 3586"
2178,2176,"Directed","IE 373: Building or Monument",97.5,350.0,1,373,"373","G. Kl. Seilianos Polykritos, Hearth-Initiate","Building or Monument","Dedication","",97.5,15,24,147,"Κλαύδιος καὶ Κλαυδία Γάιον Κλαύδιον Σειλιανὸν Πολύκριτον τὸν υἱὸν μυηθέντα ἀφ ἑστίας ταῖν Θεαῖν ἀνέθηκαν ἐπὶ ἱερείας Κλαυδίας Τειμοθέας τῆς Τειμοθέου Γαργηττίου θυ γατρός","IG II2 3586"
2178,2177,"Directed","IE 373: Building or Monument",97.5,350.0,1,373,"373","G. Kl. Seilianos Polykritos, Hearth-Initiate","Building or Monument","Dedication","",97.5,15,24,147,"Κλαύδιος καὶ Κλαυδία Γάιον Κλαύδιον Σειλιανὸν Πολύκριτον τὸν υἱὸν μυηθέντα ἀφ ἑστίας ταῖν Θεαῖν ἀνέθηκαν ἐπὶ ἱερείας Κλαυδίας Τειμοθέας τῆς Τειμοθέου Γαργηττίου θυ γατρός","IG II2 3586"
2177,2175,"Directed","IE 373: Building or Monument",97.5,350.0,1,373,"373","G. Kl. Seilianos Polykritos, Hearth-Initiate","Building or Monument","Dedication","",97.5,15,24,147,"Κλαύδιος καὶ Κλαυδία Γάιον Κλαύδιον Σειλιανὸν Πολύκριτον τὸν υἱὸν μυηθέντα ἀφ ἑστίας ταῖν Θεαῖν ἀνέθηκαν ἐπὶ ἱερείας Κλαυδίας Τειμοθέας τῆς Τειμοθέου Γαργηττίου θυ γατρός","IG II2 3586"
2177,2176,"Directed","IE 373: Building or Monument",97.5,350.0,1,373,"373","G. Kl. Seilianos Polykritos, Hearth-Initiate","Building or Monument","Dedication","",97.5,15,24,147,"Κλαύδιος καὶ Κλαυδία Γάιον Κλαύδιον Σειλιανὸν Πολύκριτον τὸν υἱὸν μυηθέντα ἀφ ἑστίας ταῖν Θεαῖν ἀνέθηκαν ἐπὶ ἱερείας Κλαυδίας Τειμοθέας τῆς Τειμοθέου Γαργηττίου θυ γατρός","IG II2 3586"
2177,2178,"Directed","IE 373: Building or Monument",97.5,350.0,1,373,"373","G. Kl. Seilianos Polykritos, Hearth-Initiate","Building or Monument","Dedication","",97.5,15,24,147,"Κλαύδιος καὶ Κλαυδία Γάιον Κλαύδιον Σειλιανὸν Πολύκριτον τὸν υἱὸν μυηθέντα ἀφ ἑστίας ταῖν Θεαῖν ἀνέθηκαν ἐπὶ ἱερείας Κλαυδίας Τειμοθέας τῆς Τειμοθέου Γαργηττίου θυ γατρός","IG II2 3586"
2164,2163,"Directed","IE 363: Base",99,350.0,1,363,"363","Entablature","Base","Dedication","Before the Telestrion",99,78,5,33,"Αὐτοκράτορος ὁ ἀρχιερεὺς τῶν Σεβαστῶν","IG II2 5209"
2042,2043,"Directed","IE 676: Base",-40,350.0,1,676,"291","Statue Base of Q. Caecilius Pomponianus Atticus, Dedicated by Khrysothemis Phaidrou Berenikides","Base","Dedication","",-40,10,24,154,"Χρυσόθεμις Φαίδρου Βερενεικίδου θυγάτηρ Κόιντον Καικίλιον Πομπωνιανὸν Ἀττικὸν τὸν ἀκουστὴν τοῦ Φαίδρου τοῦ πατρὸς αὐτῆς τὸν ἑαυτῆς φίλον καὶ εὐεργέτην Δήμητρι καὶ Κόρηι ἀνέθηκεν","IG II2 3513,SEG 57 42"
2042,2044,"Directed","IE 676: Base",-40,350.0,1,676,"291","Statue Base of Q. Caecilius Pomponianus Atticus, Dedicated by Khrysothemis Phaidrou Berenikides","Base","Dedication","",-40,10,24,154,"Χρυσόθεμις Φαίδρου Βερενεικίδου θυγάτηρ Κόιντον Καικίλιον Πομπωνιανὸν Ἀττικὸν τὸν ἀκουστὴν τοῦ Φαίδρου τοῦ πατρὸς αὐτῆς τὸν ἑαυτῆς φίλον καὶ εὐεργέτην Δήμητρι καὶ Κόρηι ἀνέθηκεν","IG II2 3513,SEG 57 42"
2436,2434,"Directed","IE 587: Column/Herm",250.5,350.0,1,587,"587","Statue Base for T. Fl. Ateiemtos Son of T. Fl. Agathon of Peiraieus, Hearth-Initiate","Column/Herm","Dedication","",250.5,99,32,187,"κατὰ τὸ ἐπερώτημα τῶν σεμνοτάτων Ἀρεοπαγειτῶν Τίτον Φλάουιον Ἀτείμητον Πειραιέα τὸν γενόμενον ἀφ ἑστίας Τίτου Φλαουίου Ἀγάθωνος Πειραιέως υἱὸν ἡ μήτηρ Παπία Ὀνησίμη Παπί ου Ὀνησίμου Βησαιέως θυγάτηρ τὸν υἱὸν τοῖν Θεοῖν","IG II2 3656"
2436,2435,"Directed","IE 587: Column/Herm",250.5,350.0,1,587,"587","Statue Base for T. Fl. Ateiemtos Son of T. Fl. Agathon of Peiraieus, Hearth-Initiate","Column/Herm","Dedication","",250.5,99,32,187,"κατὰ τὸ ἐπερώτημα τῶν σεμνοτάτων Ἀρεοπαγειτῶν Τίτον Φλάουιον Ἀτείμητον Πειραιέα τὸν γενόμενον ἀφ ἑστίας Τίτου Φλαουίου Ἀγάθωνος Πειραιέως υἱὸν ἡ μήτηρ Παπία Ὀνησίμη Παπί ου Ὀνησίμου Βησαιέως θυγάτηρ τὸν υἱὸν τοῖν Θεοῖν","IG II2 3656"
2436,2437,"Directed","IE 587: Column/Herm",250.5,350.0,1,587,"587","Statue Base for T. Fl. Ateiemtos Son of T. Fl. Agathon of Peiraieus, Hearth-Initiate","Column/Herm","Dedication","",250.5,99,32,187,"κατὰ τὸ ἐπερώτημα τῶν σεμνοτάτων Ἀρεοπαγειτῶν Τίτον Φλάουιον Ἀτείμητον Πειραιέα τὸν γενόμενον ἀφ ἑστίας Τίτου Φλαουίου Ἀγάθωνος Πειραιέως υἱὸν ἡ μήτηρ Παπία Ὀνησίμη Παπί ου Ὀνησίμου Βησαιέως θυγάτηρ τὸν υἱὸν τοῖν Θεοῖν","IG II2 3656"
2436,2438,"Directed","IE 587: Column/Herm",250.5,350.0,1,587,"587","Statue Base for T. Fl. Ateiemtos Son of T. Fl. Agathon of Peiraieus, Hearth-Initiate","Column/Herm","Dedication","",250.5,99,32,187,"κατὰ τὸ ἐπερώτημα τῶν σεμνοτάτων Ἀρεοπαγειτῶν Τίτον Φλάουιον Ἀτείμητον Πειραιέα τὸν γενόμενον ἀφ ἑστίας Τίτου Φλαουίου Ἀγάθωνος Πειραιέως υἱὸν ἡ μήτηρ Παπία Ὀνησίμη Παπί ου Ὀνησίμου Βησαιέως θυγάτηρ τὸν υἱὸν τοῖν Θεοῖν","IG II2 3656"
2109,2108,"Directed","IE 307: Base",-50.5,350.0,1,307,"307","Statue Base for Diotima, Hearth-Initiate","Base","Dedication","",-50.5,99,16,87,"κλείδης ΔΙ καὶ Φαιναρέτη Ἀττ θυγάτηρ τὴν ἑαυτῶν θυγατέρα Διοτίμαν ἀφ ἑστίας μυηθεῖσαν Δήμητρι καὶ Κόρῃ","IG II2 3499"
2109,2110,"Directed","IE 307: Base",-50.5,350.0,1,307,"307","Statue Base for Diotima, Hearth-Initiate","Base","Dedication","",-50.5,99,16,87,"κλείδης ΔΙ καὶ Φαιναρέτη Ἀττ θυγάτηρ τὴν ἑαυτῶν θυγατέρα Διοτίμαν ἀφ ἑστίας μυηθεῖσαν Δήμητρι καὶ Κόρῃ","IG II2 3499"
2108,2109,"Directed","IE 307: Base",-50.5,350.0,1,307,"307","Statue Base for Diotima, Hearth-Initiate","Base","Dedication","",-50.5,99,16,87,"κλείδης ΔΙ καὶ Φαιναρέτη Ἀττ θυγάτηρ τὴν ἑαυτῶν θυγατέρα Διοτίμαν ἀφ ἑστίας μυηθεῖσαν Δήμητρι καὶ Κόρῃ","IG II2 3499"
