person_id,inscript_id,role,notes
2326,492,Honoree,
2327,492,,
2327,493,Sponsor,
2328,492,,
2328,493,Honoree,
2329,492,,
2329,493,,
2331,493,Sponsor,
2332,495,Sponsor,
2333,499,,
2334,501,Honoree,
2335,502,Honoree,
2336,502,,
2337,502,,
2338,502,,
2338,503,,
2338,513,,
2338,514,,
2339,493,,
2339,503,Honoree,
2340,504,,
2341,506,Honoree,
2342,507,Honoree,
2342,508,Honoree,
2343,509,Honoree,
2344,510,Honoree,
2345,511,Honoree,
2346,511,,
2347,511,,
2347,512,Sponsor,
2348,514,,
2349,514,,
2350,514,,
2351,514,,
2352,514,,
2353,514,,
2354,514,,
2355,514,,
2356,514,,
2357,514,,
2358,514,,
2359,514,,
2360,514,,
2361,514,,
2362,514,,
2363,514,,
2364,514,,
2365,514,,
2366,514,,
2367,514,,
2368,514,,
2368,515,,
2368,516,,
2369,514,,
2370,514,,
2371,514,,
2372,514,,
2373,514,,
2374,514,,
2375,514,,
2376,514,,
2376,622,,
2377,514,,
2378,514,,
2379,514,,
2380,514,,
2381,514,,
2382,514,,
2383,514,,
2384,514,,
2385,514,,
2386,517,Honoree,
2386,518,Honoree,
2386,630,,
2387,518,Honoree,
2387,519,,
2388,520,Honoree,
2389,520,,
2389,521,,
2389,632,,
2390,521,Honoree,
2390,632,,
2391,522,Honoree,
2392,522,,
2393,523,Honoree,
2394,523,,
2395,523,,
2396,523,,
2397,523,,
2398,523,,
2399,523,,
2400,523,,
2401,523,,
2402,523,Sponsor,
2403,523,,
2404,524,Sponsor,
2405,524,Honoree,
2406,525,,
2407,526,,
2408,526,,
2409,526,,
2410,526,,
2411,526,,
2412,526,,
2413,526,,
2414,526,,
2415,526,,
2416,527,,
2417,528,Honoree,
2418,529,Honoree,
2419,530,,
2420,531,,
2421,532,,
2422,533,Honoree,
2423,534,,
2424,535,,
2425,536,Honoree,
2426,543,Honoree,
2427,544,Honoree,
2428,531,Honoree,
2428,545,Honoree,
2429,546,Honoree,
2430,548,Honoree,
2431,551,Honoree,
2432,558,Honoree,
2433,559,,
2434,587,Honoree,
2435,587,,
2436,587,Sponsor,
2437,587,,
2438,587,,
2439,588,Honoree,
2440,589,,
2441,589,,
2442,589,,
2443,590,Honoree,
2444,590,,
2445,591,Honoree,
2446,592,,
2447,593,Honoree,
2448,597,Honoree,
2449,599,Honoree,
2450,600,,
2451,602,Honoree,
2452,621,Honoree,
2453,621,Sponsor,
2454,621,Sponsor,
2455,621,,
2455,648,,
2456,621,,
2457,621,,
2458,622,Honoree,
2459,622,,
2460,622,,
2461,623,Honoree,
2462,623,,
2462,624,,
2463,624,Honoree,
2464,625,Honoree,
2465,625,,
2466,625,,
2467,626,,
2467,627,Honoree,
2468,628,Honoree,
2469,628,Sponsor,
2470,628,Sponsor,
2471,629,Sponsor,
2472,629,Honoree,
2473,630,,
2474,630,,
2475,630,Honoree,
2476,631,Honoree,
2477,632,Honoree,
2478,633,Honoree,
2479,633,,
2480,633,,
2481,634,Honoree,
2482,635,Honoree,
2483,635,,
2484,635,Sponsor,
2485,635,Sponsor,
2486,636,Honoree,
2487,636,,
2488,699,Honoree,
2488,700,Honoree,
2489,638,,
2490,638,,
2491,638,,
2492,639,Honoree,
2492,648,,
2493,640,Honoree,
2494,640,,
2495,640,,
2496,640,,
2497,640,,
2498,641,Honoree,
2499,641,,
2500,642,,
2501,642,,
2502,644,Honoree,
2503,645,Honoree,
2504,646,Honoree,
2505,647,Honoree,
2506,648,Honoree,
2507,648,,
2508,648,,
2509,649,Honoree,
2510,649,,
2511,650,Honoree,
2512,650,,
2513,650,,
2514,651,,
2515,652,,
2516,653,Honoree,
2517,654,Honoree,
2518,654,,
2519,654,,
2520,655,,
2521,655,,
2522,656,Honoree,
2523,658,,
2524,658,,
2525,659,Honoree,
2526,659,,
2527,659,,
2528,659,,
2529,659,,
2530,659,,
2531,659,,
2532,660,,
2533,660,Honoree,
2534,661,Honoree,
2535,662,,
2536,663,Honoree,
2537,665,,
2538,666,,
2539,669,,
2540,671,,
