ID,Text,Clean Text,Diplomatic Text
676,"1
            
            ℎ̣όρ̣ος
          
          
            
              
            
            τεμένου[ς]
          
          
            
              
            
            [Δ]ήμητρος
          
          
            
              
            
            [— — — —]",ℎ̣όρ̣ος τεμένους Δήμητρος,ℎ̣όρ̣ος τεμένου ήμητρος
675,"1
            
              [ℎό]ρ̣ος
          
          
            
              
            
              [τ]ε͂ς ℎοδο͂
          
          
            
              
            
                  ℎόρος
          
          
            
              
            
            〚— — — —〛
          
          
            
              5
            
            〚— — — —〛
          
          
            
              
            
            〚— — — —〛
          
          
            
              
            
                〚․〛Ν",ℎόρ̣ος τες ℎοδο ℎόρος Ν,ρ̣ος ες ℎοδο ℎόρος Ν
674,"[— — — — — — — — — — — —]
          
          
            
              
            
            [— — — —]ΑΙΥΙΕΙ[— — — — —]
          
          
            
              
            
            [— — — —]Ο̣ΚΟΡΩ[— — — — —]
          
          
            
              
            
            [— — — — —]ΑΝΑ[— — — — —]
          
          
            
              
            
            [— — — — — —]ΤΡ[— — — — —]
          
          
            
              
            
            [— — — — — — — — — — — —]",ΑΙΥΙΕΙ Ο̣ΚΟΡΩ ΑΝΑ ΤΡ,ΑΙΥΙΕΙ Ο̣ΚΟΡΩ ΑΝΑ ΤΡ
673,"[— — — — — — — — — —]
          
          
            
              
            
            [— — — — — — — — ἀρε]-
          
          
            
              
            
            [τῆς ἕνεκεν κα]ὶ εὐνο[ίας]
          
          
            
              
            
            [τῆς εἰς ἑαυτὸ]ν ἀνέθηκ[εν].",ἀρε τῆς ἕνεκεν καὶ εὐνοίας τῆς εἰς ἑαυτὸν ἀνέθηκεν,ὶ εὐνο ν ἀνέθηκ
672,"[— — — — — — — — — — —]
          
          
            
              
            
            [— — — — — —]ΑΛΟ[— — —]
          
          
            
              
            
            [— — — — —]ΑΣΙΡΟΥ[— —]
          
          
            
              
            
            [— — — Τρικο]ρύσιοι [— —]
          
          
            
              
            
            [— — — —]ς Εὐκρατ[— — —]
          
          
            
              5
            
            [— — — — Λευκ]ονοεῖ[ς — —]
          
          
            
              
            
            [— — — — — — — — — — —]",ΑΛΟ ΑΣΙΡΟΥ Τρικορύσιοι ς Εὐκρατ Λευκονοεῖς,ΑΛΟ ΑΣΙΡΟΥ ρύσιοι ς Εὐκρατ ονοεῖ
671,"[— — — — — — — — — — — —]
          
          
            
              
            
            [— — — — —]ΕΙΟ̣Ι̣Μ̣Ι̣[— — — —]
          
          
            
              
            
            [— — — Αὐτ]οκράτο[ρα — — —]
          
          
            
              
            
            [— — — — — Ἀ]χαιο[ί — — — —]
          
          
            
              
            
            [— — — — — — — — — — — —]",ΕΙΟ̣Ι̣Μ̣Ι̣ Αὐτοκράτορα Ἀχαιοί,ΕΙΟ̣Ι̣Μ̣Ι̣ οκράτο χαιο
670,"1
            
            [— — — — Κ]αίσαρι #⁷Ι[— — —]
          
          
            
              
            
            [— — — — — — — — — — — —]",Καίσαρι Ι,αίσαρι Ι
669,"1
            
            [Ἀρ]τεμι[σί]-
          
          
            
              
            
            [α ἀ]πὸ Κερ[α]-
          
          
            
              
            
            [μέω]ν πρ-
          
          
            
              
            
            [․․]α̣ς εὐχή[ν].",Ἀρτεμισί α ἀπὸ Κερα μέων πρ α̣ς εὐχήν,τεμι πὸ Κερ ν πρ α̣ς εὐχή
668,"1
            
            Κου̣[ρ]οτ̣[ρόφῳ]",Κου̣ροτ̣ρόφῳ,Κου̣οτ̣
667,"1
            
            [κατὰ τὸν ὑ]-
          
          
            
              
            
            πομνημ[ατισμὸν]
          
          
            
              
            
            τῆς ἐξ Ἀρ[είου πάγ]-
          
          
            
              
            
            ου βουλῆς [․․․6․․․]-
          
          
            
              5
            
            ί[α]ν τὴν α[ὑτοῦ θυ]-
          
          
            
              
            
            [γατέρα ὁ δεῖνα].",κατὰ τὸν ὑ πομνηματισμὸν τῆς ἐξ Ἀρείου πάγ ου βουλῆς ίαν τὴν αὑτοῦ θυ γατέρα ὁ δεῖνα,πομνημ τῆς ἐξ Ἀρ ου βουλῆς ίν τὴν α
666,"1
            
            ἐπὶ ἱερεί[ας — — —]
          
          
            
              
            
            Ἐπιγόνου [ἐκ Συπα]-
          
          
            
              
            
            [λητ?]τίων [— — —]
          
          
            
              
            
            [τὴν δεῖνα]#⁷Λ̣ΔΙ
          
          
            
              5
            
            [Ἀ]χαρνέως [τὴν θυγα]-
          
          
            
              
            
            [τ]έρα ὁ πατή[ρ].",ἐπὶ ἱερείας Ἐπιγόνου ἐκ Συπα ληττίων τὴν δεῖναΛ̣ΔΙ Ἀχαρνέως τὴν θυγα τέρα ὁ πατήρ,ἐπὶ ἱερεί Ἐπιγόνου τίων Λ̣ΔΙ χαρνέως έρα ὁ πατή
665,"1
            
            [— — — — — — — — τοῦ δεῖνος ἄρ]χοντ̣ος vacat
          
          
            
              
            
            [— — — — — — — — — — — —]ον Γναίου vacat
          
          
            
              
            
            [— — — — — ἀρετῆς ἕνεκα καὶ] φιλαγαθίας vacat",τοῦ δεῖνος ἄρχοντ̣ος ον Γναίου ἀρετῆς ἕνεκα καὶ φιλαγαθίας,χοντ̣ος ον Γναίου φιλαγαθίας
664,"1
            
            vacat ὑπὲρ ν̣[ίκης καὶ σωτηρίας καὶ διαμονῆς? — — — — —]
          
          
            
              
            
                     vacat
          
          
            
              
            
            [— — — — — — — — — — — — — — — — — — — — — — — —]",ὑπὲρ ν̣ίκης καὶ σωτηρίας καὶ διαμονῆς,ὑπὲρ ν̣
663,"1
            
            [— — — — ἐξ]ηγητὴ̣[ν τῶν Εὐμολπιδῶν (?) — — —]
          
          
            
              
            
            [                    τ]οῖν [Θεοῖν                                                ]
          
          
            
              
            
                                   vacat",ἐξηγητὴ̣ν τῶν Εὐμολπιδῶν τοῖν Θεοῖν,ηγητὴ̣ οῖν
662,"1
            
            [καθ’ ὑπομνηματισμὸν? τῆς ἐξ Ἀρείου]
          
          
            
              
            
            [πάγο]υ βο[υλῆς — — — — — — — —]
          
          
            
              
            
            [․․․․]ΝΑΥ[— — — — — — — — — — —]
          
          
            
              
            
            [— — —]ΙΘΟ̣[— — — — — — — — — — —]
          
          
            
              5
            
            [․․․6․․․]ο̣υ Κ#⁷[— — — — — — — —]
          
          
            
              
            
            [․․․․]ο̣υ θυ̣[γατέρα — — — — — — — —]
          
          
            
              
            
            [Πτολ]εμαίου γ̣[υναῖκα? — — — — —]
          
          
            
              
            
            [․․․5․․]Ω̣ΙΔ̣ΙΟΥΝ[— — — — — — — —]
          
          
            
              
            
                           vacat",καθ’ ὑπομνηματισμὸν τῆς ἐξ Ἀρείου πάγου βουλῆς ΝΑΥ ΙΘΟ̣ ο̣υ Κ ο̣υ θυ̣γατέρα Πτολεμαίου γ̣υναῖκα Ω̣ΙΔ̣ΙΟΥΝ,υ βο ΝΑΥ ΙΘΟ̣ ο̣υ Κ ο̣υ θυ̣ εμαίου γ̣ Ω̣ΙΔ̣ΙΟΥΝ
661,"1
            
            μύστην ἀνθύπατον σ̣ε̣[μνὸν ⏔ –, κλέος ἱρῆι]
          
          
            
              
            
                  Εὐμό[λπ]ου γενεῆι̣, [ὅν, ξένε, τῆιδ’ ἐσο]ρᾷς,
          
          
            
              
            
            Κεκροπί[δα]ι̣ σ̣τήσαντο φ[ίλης παρ’ ἀνάκτο]ρ̣α Δηοῦς,
          
          
            
              
            
                  ὥς ποτε καὶ Λήδης [τὴν δίδυμον γεν]εήν.
          
          
            
              5
            
            οὕνεκεν οὐ θεσμοῖσι φ̣[ίλος, Θεά, ἔπλετ]ο μοῦνον,
          
          
            
              
            
                  ἀλλὰ καὶ εὐσεβίη[ι, πρόφρονι δ]έξο νόωι.",μύστην ἀνθύπατον σ̣ε̣μνὸν ⏔ – κλέος ἱρῆι Εὐμόλπου γενεῆι̣ ὅν ξένε τῆιδ’ ἐσορᾷς Κεκροπίδαι̣ σ̣τήσαντο φίλης παρ’ ἀνάκτορ̣α Δηοῦς ὥς ποτε καὶ Λήδης τὴν δίδυμον γενεήν οὕνεκεν οὐ θεσμοῖσι φ̣ίλος Θεά ἔπλετο μοῦνον ἀλλὰ καὶ εὐσεβίηι πρόφρονι δέξο νόωι,μύστην ἀνθύπατον σ̣ε̣ Εὐμόου γενεῆι̣ ρᾷς Κεκροπίι̣ σ̣τήσαντο φρ̣α Δηοῦς ὥς ποτε καὶ Λήδης εήν οὕνεκεν οὐ θεσμοῖσι φ̣ο μοῦνον ἀλλὰ καὶ εὐσεβίηέξο νόωι
660,"vacat
          
          
            
              
            
            [Αὐτοκράτορα Γ(άιον) Αὐρ(ήλιον) Οὐαλ(έριον) Διοκλητ]ι̣ανὸν [— —]
          
          
            
              
            
            [— — — — — — — — καὶ Αὐτοκρά]τορα Μ(ᾶρκον) Α[ὐρ(ήλιον) Οὐαλ(έριον)]
          
          
            
              
            
            [Μαξιμιανὸν — — — — — — ὁ δῆμ]ο̣ς̣ το̣[ὺς ἐπιφα]-
          
          
            
              
            
            [νεστάτους Καίσαρας].",Αὐτοκράτορα Γάιον Αὐρήλιον Οὐαλέριον Διοκλητι̣ανὸν καὶ Αὐτοκράτορα Μᾶρκον Αὐρήλιον Οὐαλέριον Μαξιμιανὸν ὁ δῆμο̣ς̣ το̣ὺς ἐπιφα νεστάτους Καίσαρας,ι̣ανὸν τορα Μ Α ο̣ς̣ το̣
659,"1
            
            μυστιπόλοι Δήμητρος, ἐμεῖό τις ἱερὴ ἔστω
          
          
            
              
            
            μνημοσύνη Δηοῦς παρ’ ἀνακτόρῳ· οὔνομα μέν μο[ι]
          
          
            
              
            
            [Ε]ὐνείκη, τίκτεν δὲ Θάλειά με κυδήεσσα
          
          
            
              
            
            πατρὶ φίλῳ Καλλαίσχρῳ ἀγακλεῖ, τοῦ δ’ ἄ̣ρ̣α̣ μ̣[ήτηρ]
          
          
            
              5
            
            Εὐνείκη. τῆς δ’ αὖτε σαόφρων ἱερόφα̣[ντις]
          
          
            
              
            
            ἦεν ἀπ’ Εἰσαίοιο φερώνυμος Ἀντολί[ηθεν]
          
          
            
              
            
            Εἰσιδότη, τοῦ κῦδος ἀμύμονο̣[ς Ἁ]δ̣[ριανοῖο]
          
          
            
              
            
            ῥητήρων· πάππος δ’ ἄρ’ ἐμεῦ πέλεν [– ⏑ ⏑  – ⏑]
          
          
            
              
            
            Ζωίλος, ὃς δοιοῖσιν ἀδελφειοῖς φρόν[ει ἶσα],
          
          
            
              10
            
            τῷ μὲν ἀπ’ αἰγλήεντος ἀνακτόρου ἱεροφ̣[άντῃ]
          
          
            
              
            
            Γλαύκῳ· ἀτὰρ σοφίης ἡγήτορι — τήν τε Πλάτ[ωνος]
          
          
            
              
            
            δρέψατο — ∶ Καλλαίσχρῳ περιωνύμῳ ∶ οὐ μὲν ἐμεῖο
          
          
            
              
            
            [τη]λ̣οῦ συνκλήτοιο πέλει γένος· ἀνχόθι γάρ μο[ι]
          
          
            
              
            
            [․․․․] ἀ̣ν̣ε̣ψιαδῶν ἕπεται κλέος Αὐσονίηθεν.
          
          
            
              
            
                                               vacat",μυστιπόλοι Δήμητρος ἐμεῖό τις ἱερὴ ἔστω μνημοσύνη Δηοῦς παρ’ ἀνακτόρῳ οὔνομα μέν μοι Εὐνείκη τίκτεν δὲ Θάλειά με κυδήεσσα πατρὶ φίλῳ Καλλαίσχρῳ ἀγακλεῖ τοῦ δ’ ἄ̣ρ̣α̣ μ̣ήτηρ Εὐνείκη τῆς δ’ αὖτε σαόφρων ἱερόφα̣ντις ἦεν ἀπ’ Εἰσαίοιο φερώνυμος Ἀντολίηθεν Εἰσιδότη τοῦ κῦδος ἀμύμονο̣ς Ἁδ̣ριανοῖο ῥητήρων πάππος δ’ ἄρ’ ἐμεῦ πέλεν – ⏑ ⏑ – ⏑ Ζωίλος ὃς δοιοῖσιν ἀδελφειοῖς φρόνει ἶσα τῷ μὲν ἀπ’ αἰγλήεντος ἀνακτόρου ἱεροφ̣άντῃ Γλαύκῳ ἀτὰρ σοφίης ἡγήτορι τήν τε Πλάτωνος δρέψατο Καλλαίσχρῳ περιωνύμῳ οὐ μὲν ἐμεῖο τηλ̣οῦ συνκλήτοιο πέλει γένος ἀνχόθι γάρ μοι ἀ̣ν̣ε̣ψιαδῶν ἕπεται κλέος Αὐσονίηθεν,μυστιπόλοι Δήμητρος ἐμεῖό τις ἱερὴ ἔστω μνημοσύνη Δηοῦς παρ’ ἀνακτόρῳ οὔνομα μέν μο ὐνείκη τίκτεν δὲ Θάλειά με κυδήεσσα πατρὶ φίλῳ Καλλαίσχρῳ ἀγακλεῖ τοῦ δ’ ἄ̣ρ̣α̣ μ̣ Εὐνείκη τῆς δ’ αὖτε σαόφρων ἱερόφα̣ ἦεν ἀπ’ Εἰσαίοιο φερώνυμος Ἀντολί Εἰσιδότη τοῦ κῦδος ἀμύμονο̣δ̣ ῥητήρων πάππος δ’ ἄρ’ ἐμεῦ πέλεν Ζωίλος ὃς δοιοῖσιν ἀδελφειοῖς φρόν τῷ μὲν ἀπ’ αἰγλήεντος ἀνακτόρου ἱεροφ̣ Γλαύκῳ ἀτὰρ σοφίης ἡγήτορι — τήν τε Πλάτ δρέψατο — Καλλαίσχρῳ περιωνύμῳ οὐ μὲν ἐμεῖο λ̣οῦ συνκλήτοιο πέλει γένος ἀνχόθι γάρ μο ἀ̣ν̣ε̣ψιαδῶν ἕπεται κλέος Αὐσονίηθεν
658,"1
            
             [․․]ωκ[— — — — — — — — — — — — — — — —]
          
          
            
              
            
                [ἤ]γετε [— — — — — — — — — — — — — — —]
          
          
            
              
            
             ἐνθάδε · Ι[— — — — — — — — — — — — — — —]
          
          
            
              
            
                α[․․]ιπα[— — — — — — — — — — — — — — —]
          
          
            
              5
            
             κ[․․․․․]τ[— — — — — — — — — — — — — —]
          
          
            
              
            
                Ι[— — — — — — — — — — — — — — — — — —]
          
          
            
              
            
             κι[— — — — — — — — — — — — — — — — — —]
          
          
            
              
            
                ψη̣[φ— — — — — — —]Ια[— — — — — — — —]
          
          
            
              
            
             ζῆν ὀτ̣ρ̣[υν— — — — — δ]ίκη[— — — — — — — —]
          
          
            
              10
            
                ἀ̣ντῆσαι [⏑ ⏑ –  – ⏑ ⏑  –]νελω̣[— — — — — — —]
          
          
            
              
            
             ἴστε δι’ οὓς [ἄνδρας κλεινὴν ν]ε̣ίκην τ̣[όθ’ ἕλεσθε]
          
          
            
              
            
                ὧν ἕνεκεν [⏑ ⏑ –  – ⏑ ἀ]μ̣ε̣ι̣ψάμεν[αι]·
          
          
            
              
            
             ἔξοχα δ’ ὑμετέρους μύ̣στας Πύρρο[ν ⏑ ⏑  – ⏑]
          
          
            
              
            
                κλεινὸν ἔρωτα πάτ̣ρ̣ης · ἔρνος ἀ[γαυότατον]
          
          
            
              15
            
             καὶ πιν̣υτὸν Ῥουφεῖνο̣ν ὁμοῦ σώ̣[ζοιτε ⏑  – ⏑]
          
          
            
              
            
                ἄμφω φύντ’ ἀγαθῆς · Μείνωο̣[ς ἐκ γενεᾶς]
          
          
            
              
            
             οἳ τάδ’ ἐφ’ ὑμετέροις ἱε̣ροῖς σηκοῖ[ς ἀνέγραψαν?]
          
          
            
              
            
            ⸐ἱκέσιον [φ]ω̣νὴν · τή̣ν̣δε προιέμ[ενοι].
          
          
            
              
            
                     ὅστις χ[εῖ]ρ̣’ ὀ̣λ̣οὴν λώβης ἕνεκε’ ἔνθ̣’ [ἐπιβάλλῃ]
          
          
            
              20
            
                     ἔκδικο̣ν ἐκ μακάρων · μῆνιν ἕλ̣[οιτο θεῶν].",ωκ ἤγετε ἐνθάδε Ι αιπα κτ Ι κι ψη̣φ Ια ζῆν ὀτ̣ρ̣υν δίκη ἀ̣ντῆσαι ⏑ ⏑ – – ⏑ ⏑ –νελω̣ ἴστε δι’ οὓς ἄνδρας κλεινὴν νε̣ίκην τ̣όθ’ ἕλεσθε ὧν ἕνεκεν ⏑ ⏑ – – ⏑ ἀμ̣ε̣ι̣ψάμεναι ἔξοχα δ’ ὑμετέρους μύ̣στας Πύρρον ⏑ ⏑ – ⏑ κλεινὸν ἔρωτα πάτ̣ρ̣ης ἔρνος ἀγαυότατον καὶ πιν̣υτὸν Ῥουφεῖνο̣ν ὁμοῦ σώ̣ζοιτε ⏑ – ⏑ ἄμφω φύντ’ ἀγαθῆς Μείνωο̣ς ἐκ γενεᾶς οἳ τάδ’ ἐφ’ ὑμετέροις ἱε̣ροῖς σηκοῖς ἀνέγραψαν ⸐ἱκέσιον φω̣νὴν τή̣ν̣δε προιέμενοι ὅστις χεῖρ̣’ ὀ̣λ̣οὴν λώβης ἕνεκε’ ἔνθ̣’ ἐπιβάλλῃ ἔκδικο̣ν ἐκ μακάρων μῆνιν ἕλ̣οιτο θεῶν,ωκ γετε ἐνθάδε Ι αιπα κτ Ι κι ψη̣Ια ζῆν ὀτ̣ρ̣ίκη ἀ̣ντῆσαι νελω̣ ἴστε δι’ οὓς ε̣ίκην τ̣ ὧν ἕνεκεν μ̣ε̣ι̣ψάμεν ἔξοχα δ’ ὑμετέρους μύ̣στας Πύρρο κλεινὸν ἔρωτα πάτ̣ρ̣ης ἔρνος ἀ καὶ πιν̣υτὸν Ῥουφεῖνο̣ν ὁμοῦ σώ̣ ἄμφω φύντ’ ἀγαθῆς Μείνωο̣ οἳ τάδ’ ἐφ’ ὑμετέροις ἱε̣ροῖς σηκοῖ ⸐ἱκέσιον ω̣νὴν τή̣ν̣δε προιέμ ὅστις χρ̣’ ὀ̣λ̣οὴν λώβης ἕνεκε’ ἔνθ̣’ ἔκδικο̣ν ἐκ μακάρων μῆνιν ἕλ̣
657,"[— — — — — — — — — — — — — —]
          
          
            
              
            
            [— — — — — — —]ο̣[․] προσέτεισεν
          
          
            
              
            
            [— — — — — — —] σ̣ὺν εἰθυδίκ〚ῳ〛 {⁵εἰθυδίκοις}⁵ vac.
          
          
            
              
            
            [— — — — — — —]ο̣ν ὁσσάκι γὰρ ΛΙ̣[․․․]
          
          
            
              
            
            [— — — — — — — — — — — — — —]",ο̣ προσέτεισεν σ̣ὺν εἰθυδίκῳ εἰθυδίκοις ο̣ν ὁσσάκι γὰρ ΛΙ̣,ο̣ προσέτεισεν σ̣ὺν εἰθυδίκ ο̣ν ὁσσάκι γὰρ ΛΙ̣
656,"[— — — — — — — — — — — — — — —]
          
          
            
              
            
            [τὸν κρ]ά̣[τισ]τ̣ον ἐπ[ώνυμον ἄρχοντα]
          
          
            
              
            
            [καὶ ἱερ]έα παναγῆ Πό(πλιον) [Ἑρέννιον Δέξιπ]-
          
          
            
              
            
            [πον Ἕρ]μειον διὰ π̣[․]λο[— — — — καὶ]
          
          
            
              
            
            [τὴν πρὸς ἑ]αυτὴν εὔνοια̣ν [— — — — —]
          
          
            
              5
            
            [— — —]Ι̣ης ἰθυδίκου κοσ[μήτ— — — —]
          
          
            
              
            
            [— — — —]κ̣ιππον Ι[— — — — — — — —]
          
          
            
              
            
            [— — — —]Ο̣[— — — — — — — — — —]
          
          
            
              
            
            [— — — — — — — — — — — — — — —]",τὸν κρά̣τιστ̣ον ἐπώνυμον ἄρχοντα καὶ ἱερέα παναγῆ Πόπλιον Ἑρέννιον Δέξιπ πον Ἕρμειον διὰ π̣λο καὶ τὴν πρὸς ἑαυτὴν εὔνοια̣ν Ι̣ης ἰθυδίκου κοσμήτ κ̣ιππον Ι Ο̣,ά̣τ̣ον ἐπ έα παναγῆ Πό μειον διὰ π̣λο αυτὴν εὔνοια̣ν Ι̣ης ἰθυδίκου κοσ κ̣ιππον Ι Ο̣
